id,Gender,Travel,Age,Mode of reservation,Class,Distance Travelled,Departure/Arrival time convenient,Ease of Online booking,Platform Number,Food Service,Railway service,Seat comfort,Ticket-collector service,Washroom service,Baggage security score,Compartment safety score,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
113133,Male,frequent,26,offline,handicapped-class,868.8000000000001,3,2,3,3,2,3,1,1,4,5,3,33,13.0,0
7473,Female,frequent,58,offline,second-class,816.0,1,4,2,5,3,2,2,4,2,4,1,12,14.0,0
63973,Male,frequent,43,online,handicapped-class,1907.2,1,1,1,2,2,2,1,5,4,2,2,0,0.0,0
87659,Male,frequent,62,online,first-class,2449.6,2,5,2,2,4,4,2,2,2,1,4,0,0.0,0
83721,Male,frequent,42,offline,handicapped-class,923.2,4,2,1,2,2,2,3,3,4,3,2,0,0.0,0
109651,Male,frequent,61,online,second-class,1283.2,3,3,3,3,3,3,1,2,4,2,3,38,35.0,0
20840,Female,non-frequent,45,online,second-class,172.8,0,2,2,1,2,1,4,4,3,1,1,27,17.0,0
72369,Female,frequent,47,online,first-class,3464.0,5,5,5,4,4,5,3,3,3,3,4,0,3.0,1
87952,Male,frequent,23,offline,first-class,585.6,4,3,3,4,3,4,5,2,5,3,4,0,0.0,0
85478,Male,non-frequent,24,online,second-class,531.2,1,0,4,2,0,2,4,2,3,3,2,4,4.0,0
115235,Female,frequent,38,online,first-class,2540.8,1,1,1,2,4,4,4,4,4,3,4,17,12.0,0
91480,Female,frequent,67,offline,second-class,1374.4,4,3,4,2,4,4,1,3,5,5,4,0,0.0,0
118332,Female,frequent,52,online,second-class,963.2,1,1,1,4,2,2,2,2,2,1,1,86,108.0,0
32680,Male,non-frequent,24,online,first-class,345.6,0,4,3,2,4,2,4,3,3,3,2,32,32.0,0
39097,Male,frequent,36,offline,handicapped-class,1574.4,5,5,2,2,5,2,4,5,4,4,2,10,0.0,1
121433,Female,frequent,22,online,first-class,3374.4,1,1,1,1,1,1,4,2,4,2,1,9,36.0,0
13634,Male,frequent,18,offline,second-class,1859.2,4,3,4,4,3,4,4,3,3,5,4,0,0.0,0
5525,Female,non-frequent,19,online,second-class,689.6,1,2,4,2,4,5,3,4,4,5,5,103,242.0,0
33074,Female,frequent,29,offline,second-class,260.8,3,4,3,4,4,4,4,1,4,1,4,0,0.0,0
6837,Male,frequent,48,offline,second-class,219.20000000000002,1,1,3,5,1,4,2,1,2,2,5,0,0.0,0
5449,Female,non-frequent,49,online,first-class,424.0,2,2,1,2,5,3,2,4,4,3,3,124,150.0,0
75840,Male,non-frequent,60,online,first-class,2304.0,2,2,1,2,2,2,5,5,5,4,2,4,0.0,0
60983,Male,frequent,39,offline,second-class,1420.8000000000002,5,2,1,5,2,5,3,5,5,3,5,0,0.0,0
78524,Female,frequent,23,offline,second-class,841.6,5,2,3,2,2,2,4,5,4,4,2,30,26.0,0
106092,Male,non-frequent,21,online,second-class,710.4000000000001,4,2,2,4,2,4,5,2,4,5,4,7,2.0,0
11458,Male,frequent,41,online,handicapped-class,686.4000000000001,4,4,4,3,3,3,1,3,3,1,3,0,1.0,0
115250,Male,frequent,38,online,first-class,473.6,1,1,1,2,3,3,4,4,4,4,2,8,0.0,0
102583,Male,frequent,38,online,first-class,2902.4,2,2,2,5,4,4,4,4,4,3,4,0,0.0,1
88671,Male,frequent,22,offline,second-class,433.6,0,4,4,5,4,5,3,1,5,5,5,17,14.0,0
85998,Male,frequent,53,online,first-class,3980.8,1,1,1,4,4,5,2,2,2,5,5,0,4.0,1
89391,Female,non-frequent,27,online,first-class,214.4,2,2,1,5,2,1,4,5,4,4,5,0,0.0,0
95324,Female,frequent,50,offline,second-class,302.40000000000003,4,2,5,5,4,4,1,2,1,5,5,0,0.0,0
75913,Male,frequent,68,offline,second-class,955.2,5,2,1,4,2,2,5,4,4,4,4,0,0.0,0
37588,Male,non-frequent,18,online,second-class,1608.0,1,1,3,5,1,5,1,5,3,2,5,59,47.0,0
98813,Female,non-frequent,22,online,second-class,1220.8,2,2,4,3,2,5,3,3,3,1,3,8,15.0,0
28884,Female,frequent,21,online,first-class,1526.4,3,3,3,2,2,2,4,2,2,4,2,12,6.0,0
33796,Female,non-frequent,22,online,second-class,2054.4,3,3,4,5,3,5,1,1,4,1,5,0,11.0,0
92646,Male,frequent,61,offline,second-class,724.8000000000001,3,4,4,1,4,1,4,2,3,2,1,0,11.0,0
48049,Male,frequent,30,offline,second-class,1136.0,2,5,3,1,5,1,3,1,4,2,1,0,4.0,1
9735,Female,frequent,20,offline,second-class,1481.6000000000001,5,3,4,3,1,1,4,5,5,1,1,136,124.0,0
98963,Female,non-frequent,22,online,second-class,868.8000000000001,1,3,3,2,3,2,3,2,3,4,2,41,34.0,0
101396,Female,non-frequent,27,online,second-class,777.6,2,2,4,5,2,5,3,3,3,3,5,10,4.0,0
33730,Male,frequent,51,offline,second-class,1288.0,3,2,4,3,2,5,1,4,3,3,3,47,46.0,0
71649,Male,frequent,12,offline,second-class,1915.2,5,2,3,4,2,4,3,3,5,4,4,6,0.0,0
1363,Male,frequent,42,online,first-class,566.4,3,3,3,2,3,2,3,3,3,3,1,0,2.0,0
14973,Female,frequent,44,online,second-class,1728.0,2,2,2,1,4,4,3,3,3,2,3,0,0.0,0
69180,Male,frequent,32,offline,second-class,299.2,5,3,3,4,3,4,5,2,5,3,4,0,0.0,0
50505,Female,frequent,43,offline,second-class,174.4,3,4,3,2,4,3,3,4,5,4,2,0,0.0,0
18114,Male,non-frequent,24,online,second-class,1006.4000000000001,2,3,4,4,3,4,3,5,4,3,4,23,2.0,0
129783,Male,frequent,55,offline,second-class,492.8,5,1,4,2,1,2,4,4,5,3,2,75,66.0,0
87396,Female,frequent,56,online,second-class,680.0,4,4,4,2,1,2,3,3,3,1,3,0,0.0,0
65536,Male,frequent,31,online,handicapped-class,2585.6000000000004,1,1,1,2,2,2,4,5,2,1,2,3,20.0,0
44203,Male,frequent,40,offline,second-class,251.20000000000002,5,3,2,1,3,1,5,2,5,5,1,0,0.0,0
14266,Male,non-frequent,20,online,second-class,686.4000000000001,4,5,2,1,5,1,2,1,3,5,1,0,0.0,1
100238,Female,frequent,10,offline,first-class,1617.6000000000001,5,4,1,4,5,5,3,3,3,5,5,340,338.0,0
29304,Male,frequent,50,offline,second-class,880.0,2,2,4,3,2,3,1,1,3,4,3,9,14.0,0
67926,Female,frequent,43,offline,second-class,2289.6,5,3,1,2,5,4,2,3,2,4,5,20,17.0,0
82975,Female,non-frequent,49,online,second-class,1803.2,4,4,4,1,4,1,4,2,4,1,1,0,27.0,0
76980,Female,frequent,52,offline,second-class,3150.4,4,3,3,1,4,4,4,3,4,4,4,0,0.0,0
14310,Male,frequent,43,online,first-class,2566.4,2,2,2,2,2,2,3,3,3,3,3,72,73.0,0
40488,Male,frequent,48,offline,second-class,300.8,4,0,3,4,0,4,4,5,5,5,4,0,0.0,0
72318,Male,frequent,24,offline,handicapped-class,1470.4,2,3,3,4,3,4,3,5,3,4,4,12,12.0,0
16617,Male,frequent,32,offline,second-class,1612.8000000000002,5,2,5,3,2,3,5,5,5,5,3,40,16.0,0
77141,Female,frequent,54,offline,second-class,3368.0,5,3,3,4,5,5,3,3,3,5,4,4,16.0,0
4635,Female,frequent,52,online,first-class,6014.400000000001,2,2,2,5,4,4,5,5,5,3,3,0,0.0,1
100954,Male,frequent,22,online,first-class,1926.4,1,1,1,1,2,1,4,5,3,4,1,0,0.0,0
14420,Female,frequent,23,offline,second-class,936.0,3,2,2,2,2,2,4,4,2,1,2,50,44.0,0
96453,Male,frequent,48,online,first-class,5182.400000000001,3,5,3,2,4,4,5,5,5,4,3,0,0.0,1
57524,Female,non-frequent,35,online,first-class,660.8000000000001,4,4,5,3,4,3,4,2,5,4,3,114,124.0,0
127625,Female,non-frequent,40,online,first-class,2836.8,2,2,4,2,2,2,2,3,3,1,2,0,0.0,0
53591,Female,non-frequent,30,online,second-class,958.4000000000001,0,2,2,2,2,2,2,4,3,4,2,9,0.0,0
51365,Male,frequent,22,offline,handicapped-class,521.6,5,2,2,4,2,4,2,1,4,5,4,3,4.0,0
129269,Male,non-frequent,44,online,second-class,4033.6000000000004,2,2,4,2,2,2,4,4,2,4,2,0,0.0,0
10796,Female,frequent,60,online,first-class,4105.6,1,1,1,3,2,3,1,2,1,3,3,4,0.0,0
66217,Male,non-frequent,21,online,second-class,880.0,0,4,4,1,4,1,4,2,3,2,1,20,14.0,0
77117,Male,frequent,32,offline,second-class,2369.6,4,2,1,3,2,3,4,4,1,1,3,0,0.0,0
88829,Female,frequent,54,offline,handicapped-class,872.0,1,3,2,1,3,2,4,3,4,4,1,43,51.0,0
127072,Female,frequent,45,online,first-class,2532.8,2,2,2,4,3,3,4,3,4,2,2,0,0.0,0
113058,Female,non-frequent,28,online,second-class,910.4000000000001,1,2,2,5,2,5,2,5,3,2,5,0,0.0,0
128472,Male,frequent,43,offline,second-class,993.6,5,1,5,1,1,1,5,1,1,2,1,0,0.0,0
120678,Male,non-frequent,25,online,first-class,448.0,5,1,2,4,1,4,1,1,5,1,4,0,2.0,0
61359,Male,frequent,51,offline,handicapped-class,963.2,2,2,3,5,2,5,2,3,3,4,5,8,0.0,0
102351,Male,non-frequent,62,online,second-class,617.6,2,3,3,2,3,2,4,2,4,2,2,1,0.0,0
88196,Female,frequent,38,online,first-class,6337.6,4,4,4,4,5,4,5,5,5,4,3,33,38.0,1
21667,Male,frequent,49,online,first-class,1193.6000000000001,3,3,3,2,3,2,4,4,4,3,1,76,72.0,1
102036,Female,frequent,57,online,first-class,361.6,1,2,1,5,5,4,5,4,5,5,5,45,40.0,1
38457,Male,frequent,49,online,second-class,2406.4,2,2,2,3,3,3,3,3,4,2,3,74,65.0,0
50549,Male,frequent,14,offline,second-class,521.6,1,4,4,5,4,5,3,2,2,1,5,0,0.0,0
84167,Female,frequent,58,online,first-class,369.6,1,1,1,4,5,4,5,5,5,4,5,0,0.0,1
20892,Female,non-frequent,22,online,second-class,1537.6000000000001,0,0,3,4,0,4,2,5,1,5,4,102,82.0,1
22982,Male,non-frequent,21,online,second-class,1307.2,3,3,1,5,3,5,4,1,2,1,5,0,0.0,0
75189,Female,frequent,44,online,first-class,2756.8,1,1,1,2,5,5,4,4,4,4,3,0,0.0,1
24056,Female,frequent,50,offline,second-class,899.2,5,4,3,5,4,5,3,4,3,4,5,0,0.0,0
85398,Female,non-frequent,20,online,second-class,342.40000000000003,0,2,1,3,2,5,5,5,5,3,3,0,0.0,0
36260,Female,frequent,55,online,second-class,979.2,5,5,5,4,3,3,1,1,1,3,3,0,0.0,0
7389,Male,non-frequent,25,online,first-class,835.2,0,2,2,1,2,1,4,5,4,3,1,76,82.0,0
52390,Male,frequent,57,offline,second-class,592.0,4,4,3,3,4,3,4,5,5,5,3,0,0.0,0
38623,Female,non-frequent,21,online,second-class,4140.8,2,2,3,2,2,5,2,5,4,1,2,0,0.0,0
104504,Female,frequent,40,online,first-class,2574.4,2,2,2,4,4,4,2,2,4,4,4,246,235.0,0
85501,Male,frequent,60,offline,second-class,531.2,4,1,5,3,1,3,5,5,4,4,3,0,0.0,0
99750,Male,non-frequent,35,online,second-class,408.0,0,2,3,1,2,1,3,1,1,4,1,0,0.0,0
40485,Female,frequent,10,offline,second-class,280.0,2,2,3,4,2,2,1,5,2,3,4,0,0.0,0
77661,Male,non-frequent,38,online,first-class,1113.6000000000001,3,3,2,1,3,1,3,4,5,3,1,0,0.0,0
53914,Female,frequent,50,offline,second-class,305.6,4,1,4,3,4,4,2,1,2,1,3,10,0.0,0
38309,Male,frequent,55,offline,second-class,3747.2000000000003,2,3,3,2,3,2,2,4,2,3,2,0,110.0,0
37722,Female,frequent,10,offline,second-class,1656.0,3,2,2,1,2,1,2,1,3,1,1,0,0.0,0
42640,Female,frequent,37,offline,second-class,769.6,4,3,3,1,3,1,5,4,3,4,1,0,0.0,0
122918,Male,frequent,32,offline,first-class,960.0,2,3,3,1,3,1,3,4,4,2,1,0,0.0,0
56050,Male,non-frequent,40,online,second-class,1560.0,2,2,4,2,3,3,1,3,1,3,3,18,47.0,0
16564,Male,frequent,10,online,first-class,5907.200000000001,3,3,3,1,1,1,2,4,4,4,1,9,30.0,0
41671,Female,frequent,31,online,second-class,555.2,5,5,5,3,3,3,1,1,2,4,3,0,8.0,0
36495,Male,non-frequent,45,online,first-class,1793.6000000000001,3,3,3,4,3,4,4,2,3,5,4,0,26.0,0
50198,Female,non-frequent,45,online,second-class,539.2,1,2,3,1,2,1,1,1,3,3,1,7,11.0,0
68254,Male,frequent,26,offline,second-class,691.2,4,4,3,4,4,4,3,2,1,5,4,0,0.0,1
121775,Male,frequent,39,online,first-class,3459.2000000000003,4,4,4,5,5,4,5,5,5,4,4,0,0.0,1
86179,Male,frequent,30,online,first-class,489.6,4,2,4,2,2,2,2,2,3,4,2,28,28.0,0
3180,Female,frequent,26,online,first-class,4164.8,4,4,4,4,4,4,5,3,5,5,4,0,6.0,1
33032,Female,frequent,38,offline,second-class,161.60000000000002,5,3,1,2,3,3,3,4,4,3,2,0,0.0,0
27043,Male,frequent,21,offline,first-class,2382.4,3,3,3,2,3,4,1,3,3,2,2,10,1.0,0
22911,Male,non-frequent,35,online,first-class,1008.0,2,2,3,5,2,5,3,3,3,3,5,2,1.0,0
37540,Male,non-frequent,19,online,second-class,1721.6000000000001,1,1,4,3,1,3,1,4,3,4,3,30,34.0,0
47621,Female,frequent,49,online,first-class,2406.4,1,5,1,4,1,5,4,5,4,2,2,85,66.0,1
122710,Female,frequent,34,offline,second-class,1300.8000000000002,5,3,1,3,3,2,4,4,1,4,3,19,8.0,0
83734,Female,frequent,12,offline,handicapped-class,1643.2,5,2,1,3,2,3,4,2,4,4,3,17,0.0,0
122116,Male,frequent,46,online,first-class,3569.6000000000004,4,4,4,2,5,5,4,4,4,5,3,0,11.0,1
89805,Female,non-frequent,17,online,second-class,1742.4,4,4,1,3,4,3,3,3,4,3,3,0,0.0,0
92340,Male,frequent,43,online,first-class,4089.6000000000004,3,5,5,1,1,3,3,3,3,1,4,33,7.0,0
26229,Male,frequent,42,offline,second-class,649.6,4,2,2,4,2,4,4,2,5,3,4,0,0.0,0
117246,Female,frequent,25,offline,second-class,486.40000000000003,5,2,3,3,2,3,4,2,5,5,3,0,0.0,0
2012,Male,frequent,35,online,handicapped-class,304.0,1,1,1,4,4,4,3,2,3,2,4,0,0.0,1
93746,Male,frequent,43,online,first-class,2785.6000000000004,5,5,5,3,4,4,4,3,4,3,3,20,12.0,1
45433,Male,frequent,52,online,first-class,5904.0,4,4,4,3,3,3,2,2,2,3,4,0,0.0,0
11055,Male,frequent,65,offline,second-class,505.6,1,2,3,5,2,5,2,1,3,2,5,0,0.0,0
3575,Male,frequent,46,offline,second-class,363.20000000000005,4,2,2,1,2,5,3,3,4,4,1,0,0.0,0
4084,Male,frequent,40,online,first-class,6220.8,4,4,4,4,3,4,2,2,2,2,2,0,21.0,0
49641,Female,frequent,35,online,second-class,304.0,4,4,4,5,5,5,4,4,5,2,5,63,55.0,1
35000,Female,frequent,37,online,first-class,1891.2,3,3,3,2,4,4,2,2,2,3,3,0,0.0,0
64992,Male,non-frequent,26,online,second-class,395.20000000000005,0,4,1,3,4,3,4,1,2,3,3,0,0.0,0
79025,Female,frequent,28,online,second-class,569.6,4,4,4,3,3,3,2,5,4,4,3,0,0.0,0
39084,Male,non-frequent,36,online,second-class,1574.4,3,3,2,1,3,1,2,2,1,3,1,2,0.0,0
95326,Male,frequent,25,offline,second-class,468.8,5,2,3,2,2,2,3,5,5,3,2,33,34.0,0
116783,Male,frequent,55,offline,handicapped-class,520.0,4,4,4,4,2,2,3,3,5,2,2,168,160.0,0
127175,Female,frequent,16,offline,second-class,1033.6000000000001,3,4,1,5,4,5,4,1,5,3,5,0,0.0,0
25786,Male,non-frequent,35,online,second-class,1219.2,2,2,4,4,2,4,4,2,5,5,4,1,0.0,0
19486,Male,frequent,33,offline,second-class,134.4,2,4,3,5,4,5,2,3,3,2,5,0,0.0,0
40499,Female,frequent,11,offline,second-class,737.6,5,1,2,1,1,1,5,3,5,3,1,0,0.0,0
4890,Male,frequent,34,online,handicapped-class,652.8000000000001,4,4,4,4,4,4,1,1,4,1,4,0,0.0,0
11784,Male,frequent,68,offline,second-class,686.4000000000001,0,1,2,2,1,2,4,1,4,2,2,0,1.0,0
67604,Female,non-frequent,29,online,first-class,1900.8000000000002,5,5,4,5,5,3,4,2,5,4,5,0,0.0,1
45723,Male,frequent,37,offline,second-class,1363.2,5,3,5,3,3,3,5,4,5,4,3,0,0.0,0
50704,Male,frequent,19,offline,second-class,244.8,4,1,1,1,1,1,4,2,4,5,1,0,0.0,0
97201,Male,frequent,50,offline,second-class,2224.0,4,3,3,4,3,5,5,3,5,1,4,0,0.0,0
2321,Female,frequent,20,offline,second-class,1075.2,3,2,3,1,2,1,3,3,4,3,1,0,0.0,0
97159,Male,frequent,36,online,first-class,3958.4,3,3,3,1,3,3,3,3,3,2,4,21,23.0,0
109288,Female,non-frequent,39,online,first-class,1715.2,3,3,3,3,3,5,3,5,4,5,5,170,164.0,0
57172,Female,non-frequent,26,online,first-class,3563.2000000000003,4,4,4,5,4,5,3,5,4,3,5,0,0.0,0
98052,Female,frequent,14,online,second-class,2875.2000000000003,4,4,4,1,2,1,4,3,3,1,1,0,0.0,0
25756,Male,frequent,33,online,first-class,4526.400000000001,2,2,2,4,4,4,2,3,4,1,4,17,19.0,1
128055,Female,frequent,66,offline,second-class,1176.0,1,1,3,2,3,2,3,1,3,3,2,0,0.0,0
92552,Male,frequent,62,offline,second-class,3027.2000000000003,2,2,3,2,2,1,4,3,4,1,2,0,0.0,0
15623,Male,frequent,13,offline,second-class,366.40000000000003,2,3,4,4,3,4,1,2,4,1,4,127,108.0,0
68405,Male,non-frequent,24,online,second-class,1672.0,2,2,4,2,2,2,4,2,3,1,2,0,0.0,0
29906,Female,non-frequent,38,online,second-class,876.8000000000001,5,3,2,4,3,4,3,1,5,2,4,0,0.0,0
9979,Female,frequent,29,offline,second-class,824.0,5,5,3,5,5,4,4,3,4,5,5,0,0.0,1
68582,Female,frequent,28,offline,second-class,2585.6000000000004,5,0,3,4,0,4,5,5,5,3,4,0,0.0,0
125981,Female,non-frequent,8,online,second-class,944.0,4,3,1,1,3,1,5,5,5,3,1,0,0.0,0
94072,Male,non-frequent,43,online,first-class,302.40000000000003,2,2,3,4,3,4,1,5,3,2,4,53,53.0,0
