ids,bod,ammonium,silicon_dixoide,potassium_dichromate,oxygen_saturation,conduct,nitrogen_dioxide,hardness,nitrate,carbon_dioxide,potassium_permanganate,chlorine,phosphate,oxygen,standard_ph,standard_temperature,38100,57500,55800,59300,29600,33400,25400,19400,50390,37880,17300,49700,34500,30400
17,0.32752348064354,0.24048151189111602,2.63359628087594,0.277345577020024,4.2999169808171,3.121902912443701,0.4606252397486211,3.5070281722025096,2.82239505966277,0.699282915265795,0.770242815276593,1.27320986784124,0.29471626233252196,4.88804097768813,23.421773443404998,1.07137173902928,1,0,1,0,0,0,0,1,1,1,1,1,0,0
18,0.3363754666068789,0.07594153007087899,1.35145072308108,0.58816389609419,3.9482674554707797,1.96048069799292,0.7485160145915091,2.48250308818829,1.9327270517255903,0.42733955932909706,0.797268878970509,0.6314292840513471,0.35786974711806296,3.7281668473892497,23.421773443404998,2.5712921736702796,0,0,0,1,0,0,0,1,0,1,0,1,0,0
19,0.557675115690352,0.172977929605891,2.4603333676604198,0.707709403430407,4.15747666675277,3.2148166895997594,0.345468929811465,3.7828618486678796,2.82239505966277,0.9712262712024928,0.986451324827918,1.40777676444235,0.14735813116626098,4.97088912985233,24.0223317368256,0.7012615019100771,0,0,1,0,0,0,1,1,0,0,1,1,0,0
20,0.292115536790184,0.506276867139192,2.3217230370879998,0.69814576284351,4.31327076026063,3.02898913528763,0.345468929811465,3.74345703774425,2.42357836644955,0.0,1.28373802546099,1.41812806418089,0.25261393914216196,3.43819831481453,23.7220525901153,4.246527983788799,1,0,0,0,1,0,1,1,0,0,0,1,1,0
21,4.18698936065931,1.6116480270597602,3.49991084695355,4.131492733539671,1.78495518561869,4.552775080647058,0.633359704654353,4.649767688987597,0.429494900383465,2.05899969494929,4.01337045854646,3.6643601074455203,0.7788929790216659,2.15405195626934,22.220656856563696,0.623343557253402,0,0,0,0,0,0,0,0,0,1,1,0,0,0
22,1.21272207697743,2.2360561631981,3.3613005163811405,1.7405825868153302,1.90513920061048,4.915138811555701,0.403047084780043,4.610362878063969,0.521529521894207,4.11799938989857,1.20265983437924,2.92941782600871,0.905199948592746,1.9055074997767296,22.520936003274002,2.08430501956606,1,0,0,0,1,0,0,1,0,1,1,0,1,1
23,1.45172569798758,0.09281742564218501,4.1236573345294305,1.50627339243634,1.7760526659896698,3.61434593137083,0.806094169560086,3.74345703774425,0.18406924302148492,8.89643264421484,1.5539986624001398,1.5733975602590902,0.189460454356621,1.4498426628736,22.220656856563696,3.9932946636546003,1,0,0,0,1,1,0,1,0,1,1,0,0,0
24,0.6727509332137579,0.177196903498717,2.98012210730699,0.449491107584178,3.2939322627377403,2.936075358131569,0.4606252397486211,4.13750514698049,1.5952667728528702,4.77843325431627,0.770242815276593,1.35602026574961,0.21051161595180198,3.2725020104861198,21.920377709853398,2.14274347805857,0,0,0,0,0,0,0,1,0,1,1,0,1,1
25,0.451451284130285,0.18563485128437002,2.9108169420207797,0.6264184584417789,0.9481183404907281,3.10332015701248,0.345468929811465,4.373934012522232,0.18406924302148492,2.7194335593669803,0.783755847123551,1.23180466888705,0.421023231903603,0.869905597724158,22.220656856563696,2.8440049799686498,1,0,0,0,0,1,0,1,0,1,0,0,0,0
26,0.708158877067114,0.303766120283515,4.36622541303116,1.20023689365562,3.4052137581005,3.121902912443701,0.403047084780043,3.8222666595915,2.9451078883437596,2.05899969494929,1.4999465350123102,2.0806112474478797,0.02105116159518,3.9767113038818596,22.520936003274002,0.8765768773875959,1,0,0,0,1,0,0,1,0,1,1,0,1,0
27,0.8409386665171971,0.24470048578394296,3.3613005163811405,1.06156410514561,3.8013758815919294,3.08473740158127,0.4606252397486211,3.66464741589701,1.77933601587435,2.05899969494929,1.0405034522157501,1.52164106156636,0.29471626233252196,4.18383168429238,22.520936003274002,1.32460505916348,0,0,0,1,0,0,0,0,0,1,0,1,0,0
28,1.61991343129102,0.11813126899914501,3.1187324378793995,2.43872834965884,3.07136927201222,4.2275768606008395,0.6909378596229311,4.80738693268209,1.9940834660660904,0.9712262712024928,1.94587658596192,3.51944191110587,0.44207439349878297,3.52104646697873,23.421773443404998,1.0129332805367801,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,3.9302817677224797,4.48476924807467,4.36622541303116,2.59652841934264,0.137989054249824,2.91749260270036,0.633359704654353,3.23119449573714,0.09203462151074199,6.13815003399976,2.62152817830981,0.9212656767306541,1.22096737252045,0.124272228246308,21.620098563143106,2.9608818969536603,0,0,0,0,0,0,0,0,0,1,0,1,0,0
30,3.51423842744555,8.4379477856532,5.19788739646567,4.5905474817107494,0.048963857959615,6.1973489363093615,0.4606252397486211,4.80738693268209,0.0,8.89643264421484,2.51342392353415,6.56272403423859,1.9367068667565701,0.041424076082102995,21.3198194164327,3.77902031584875,0,0,0,0,0,0,0,1,0,1,1,0,0,0
31,0.12392780348674501,0.2362625379982901,4.435530578317371,0.5499093337466,4.27766068174455,3.04757189071885,0.403047084780043,3.8222666595915,3.83477589628094,0.815830067810094,0.4729561146435221,2.42220413881992,0.8209953022120258,4.26667983645658,23.421773443404998,2.10378450573023,1,0,1,1,0,1,1,1,0,1,1,1,1,0
32,0.185891705230117,0.16032100792741102,6.410727788974332,1.09503684719975,3.9171086367692,3.0104063798564202,0.6909378596229311,3.3888137394316398,1.8713706373851002,3.84605603396187,1.43238137577752,1.82182875398421,0.421023231903603,3.18965385832191,22.8212151499843,4.01277414981877,1,0,1,1,0,0,0,0,1,1,1,1,1,0
33,0.354079438533557,0.25735740746242297,4.19296249981564,0.6264184584417789,4.09070776953511,2.95465811356278,0.7485160145915091,3.19178968481352,4.11087976081316,0.699282915265795,0.797268878970509,2.3393937409115497,0.27366510073734196,4.63949652119551,22.8212151499843,1.09085122519345,1,0,1,1,0,1,0,0,0,1,1,1,1,1
34,0.433747312203607,1.1897506377771,2.63359628087594,0.860727652820766,4.39784469673633,3.70725970852689,3.28195483320892,3.74345703774425,1.07373725095866,0.9712262712024928,0.648625528653973,2.49466323698975,0.673637171045765,3.6867427713071503,23.421773443404998,3.7011023711920696,1,0,0,0,0,0,0,1,0,0,0,1,0,1
35,1.5490975435843102,1.66227571377368,4.40087799567427,1.118945948667,1.26415778732097,5.72348867281344,0.518203394717198,3.8222666595915,0.09203462151074199,2.7194335593669803,0.9999643566748759,3.34346981555057,2.48403706823126,0.9527537498883628,22.220656856563696,4.90883051337054,1,0,0,0,0,1,0,1,0,0,0,0,1,0
36,0.061963901743372,0.042189738928266,5.61371838818293,0.4351456467038309,3.82808344047899,2.01622896428655,0.403047084780043,2.2854790335701805,3.83477589628094,2.05899969494929,0.85132100635834,1.59410015973619,0.06315348478554,4.43237614078499,22.520936003274002,0.935015335880103,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0.132779789450084,0.13500716457045098,4.678098656819111,0.6455457396155739,3.97497501435784,1.76536176596519,0.4606252397486211,1.93083573525756,0.337460278872722,0.543886711873396,0.891860101899213,1.4905871623507199,0.189460454356621,4.5566483690313,22.8212151499843,1.0129332805367801,1,0,0,1,0,1,0,0,0,1,1,1,0,0
38,0.132779789450084,0.046408712821093,1.4207558883672802,0.167363710270704,4.69607910430853,1.9418979425617,0.115156309937155,2.52190789911192,1.1044154581289098,0.0,0.22972154139828196,0.27948509294076,0.06315348478554,4.26667983645658,24.923169176956602,2.9219229246253198,0,0,0,1,0,1,1,1,0,0,1,0,0,0
39,0.07081588770671099,0.08859845174935901,1.66332396686902,0.42080018582348494,4.23314808359944,2.4436323392044397,0.115156309937155,3.1523848738898996,1.41119752983138,0.0,0.31079973248002896,0.40370068980332,0.10525580797590099,4.5980724451134005,24.6228900302463,1.42200248998432,0,0,0,0,0,0,0,1,0,0,1,1,0,0
40,0.132779789450084,0.063284608392399,1.7326291321552199,0.473400209051421,4.49132115284105,2.2020565185986802,2.36070435371168,3.42821855035526,1.4418757370016295,0.42733955932909706,0.351338828020902,0.414051989541867,0.14735813116626098,4.72234467335971,23.7220525901153,1.6752358101185199,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41,0.230151635046812,0.10969332121349196,1.66332396686902,0.7459639657779971,4.3221732798896495,1.84898416540564,0.287890774842888,2.40369346634105,1.04305904378841,0.0,0.5675473375722271,0.32089029189494706,0.08420464638072099,3.6453186952250403,24.923169176956602,3.64266391269957,1,1,0,0,0,0,0,1,1,0,1,1,0,0
42,0.19474369119345605,0.084379477856532,1.2821455577948702,0.119545507336217,4.5758950893167505,2.5272547386449,0.17273446490573302,3.31000411758439,1.5645885656826202,0.0,0.256747605092198,0.7763474803910001,0.08420464638072099,5.467978042837559,24.322610883536,0.7012615019100771,0,0,1,0,1,0,0,1,1,0,1,1,0,0
43,0.28326355082684496,0.080160503963705,1.5593662189396995,0.463836568464524,4.5803463491312595,1.8025272768276104,0.23031261987431,2.2854790335701805,0.6749205577454449,0.0,0.324312764326987,0.21737729450948,0.06315348478554,4.14240760821028,23.1214942966947,2.9608818969536603,0,0,0,0,0,0,0,1,0,1,1,1,0,1
44,0.203595677156795,0.09703639953501199,1.8019342974414296,0.3395092408348581,4.35333209859123,2.66662540437899,0.115156309937155,3.2705993066607704,1.9327270517255903,0.349641457632898,0.432417019102649,0.6417805837898929,0.14735813116626098,5.178009510262839,23.1214942966947,0.740220474238414,0,0,0,0,0,0,0,1,0,1,1,0,0,0
45,0.185891705230117,0.11391229510631802,1.8019342974414296,0.2343091943789861,4.566992569687732,1.70032212195594,0.17273446490573302,2.9947656301954,1.31916290832064,0.0,0.28377366878611304,0.258782493463667,0.02105116159518,5.26085766242705,24.0223317368256,0.97397430820844,0,0,1,0,0,0,0,1,0,1,1,0,0,0
46,0.230151635046812,0.084379477856532,1.38610330572418,0.272563756726576,4.2999169808171,2.01622896428655,2.2455480437745297,2.56131271003554,0.9817026294479192,0.0,0.29728670063307105,0.331241591633493,0.04210232319036,3.52104646697873,24.0223317368256,3.95433569132627,0,0,1,0,0,0,1,1,0,0,1,1,0,1
47,0.177039719266778,0.12235024289197098,1.97519721065696,0.239091014672435,4.5447362706151795,1.8675669208368504,0.17273446490573302,2.7189319537300403,1.13509366529916,0.0,0.36485185986786,0.289836392679307,0.02105116159518,3.8110149995534495,24.6228900302463,3.7011023711920696,0,0,0,0,1,0,0,0,1,0,1,1,0,0
48,0.115075817523406,0.10125537342783801,2.2870704544449,0.215181913205191,4.16637918638179,2.33213580661717,0.115156309937155,3.11298006296627,1.3805193226611399,0.0,0.37836489171481796,0.32089029189494706,0.06315348478554,4.30810391253869,24.322610883536,1.8115922132677,0,0,0,0,1,1,0,1,0,0,0,1,0,0
49,0.239003621010151,0.067503582285226,1.2821455577948702,0.9802731601569828,5.10559500724349,2.50867198321368,0.17273446490573302,3.11298006296627,1.50323215134213,0.0,1.918850522268,0.7349422814368131,0.168409292761441,5.88221880365859,24.322610883536,0.97397430820844,0,0,0,0,0,0,0,1,0,0,1,0,0,0
50,0.433747312203607,0.042189738928266,1.21284039250866,0.31081831907416496,4.73168918282462,2.0812686082958,0.057578154968577995,2.9947656301954,1.13509366529916,0.0,0.36485185986786,0.37264679058767997,0.02105116159518,4.14240760821028,25.223448323666897,3.2725536755803595,1,0,1,0,0,1,0,1,0,1,1,1,1,0
51,0.230151635046812,0.09281742564218501,1.9058920453707504,0.31081831907416496,4.7717505211552105,2.50867198321368,0.115156309937155,3.1523848738898996,1.74865780870411,0.0,0.24323457324524,0.55897018588152,0.10525580797590099,5.467978042837559,23.1214942966947,1.0129332805367801,0,0,0,0,0,0,1,1,0,0,1,0,0,0
52,0.177039719266778,0.046408712821093,1.2821455577948702,0.13389096821656402,4.98541099225171,1.8025272768276104,0.17273446490573302,2.48250308818829,0.951024422277672,0.0,0.256747605092198,0.227728594248027,0.06315348478554,4.473800216867099,25.523727470377196,3.0387998416103303,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,0.177039719266778,0.05484666060674599,1.49006105365349,0.205618272618294,4.70498162393755,1.8675669208368504,0.115156309937155,2.36428865541742,1.13509366529916,0.0,0.351338828020902,0.27948509294076,0.04210232319036,3.85243907563556,24.923169176956602,3.95433569132627,1,0,0,0,1,0,0,1,0,1,1,1,0,1
54,0.07081588770671099,0.09703639953501199,2.39102820237421,0.325163779954511,4.0550976910190295,2.32284442890156,0.115156309937155,3.07357525204265,1.41119752983138,0.0,0.4189039872556911,0.3105389921564,0.06315348478554,4.22525576037448,24.322610883536,1.75315375477519,0,0,0,0,0,0,0,1,0,0,1,0,0,1
55,0.07966787367005,0.08859845174935901,1.7326291321552199,0.4877456699317671,4.20198926489787,2.3785926951952003,0.115156309937155,3.07357525204265,1.4725539441718798,0.0,0.3378257961739439,0.40370068980332,0.06315348478554,4.68092059727761,24.923169176956602,1.2272076283426299,0,0,1,0,1,0,0,0,0,0,1,1,0,1
56,0.19474369119345605,0.05484666060674599,1.2821455577948702,0.31081831907416496,4.5135774519136,2.0348117197177698,0.115156309937155,2.9159560083481604,1.28848470115039,0.0,0.29728670063307105,0.362295490849133,0.12630696957108098,3.9352872277997597,24.322610883536,3.3115126479087,0,0,0,0,0,0,0,1,0,0,0,1,0,0
57,0.24785560697349002,0.084379477856532,1.9058920453707504,0.17214553056415302,4.78510430059874,2.46221509463565,0.115156309937155,3.1523848738898996,1.8713706373851002,0.271943355936698,0.37836489171481796,0.5796727853586129,0.06315348478554,5.67509842324808,21.3198194164327,0.759699960402583,0,0,0,0,0,0,0,0,0,1,1,1,0,0
58,0.19474369119345605,0.07594153007087899,1.38610330572418,0.200836452324845,4.75839674171168,1.89544105398367,0.115156309937155,2.1672646007993,0.8589898007669291,0.0,0.31079973248002896,0.258782493463667,0.06315348478554,3.9767113038818596,24.6228900302463,3.74006134352041,0,0,0,0,0,0,0,0,0,0,1,1,0,0
59,0.19474369119345605,0.059065634499571994,2.25241787180179,0.13389096821656402,4.60260264820381,2.7316650483882303,0.17273446490573302,3.54643298312613,1.74865780870411,0.699282915265795,0.31079973248002896,0.517564986927333,0.35786974711806296,5.59225027108387,24.0223317368256,0.584384584925064,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60,0.132779789450084,0.10547434732066499,1.94054462801385,0.24865465525933197,4.3844909172928,1.6631566110935199,0.17273446490573302,2.8765511974245297,1.2271282868099,0.0,0.28377366878611304,0.30018769241785304,0.06315348478554,5.05373728201654,24.0223317368256,0.97397430820844,0,0,0,0,1,1,1,1,0,0,1,1,0,0
61,0.22129964908347305,0.11813126899914501,1.7326291321552199,0.272563756726576,4.9987647716952415,2.02552034200216,0.17273446490573302,2.52190789911192,0.9817026294479192,0.0,0.391877923561776,0.26913379320221303,0.02105116159518,4.10098353212817,24.6228900302463,3.9348562051621,0,0,0,0,1,0,1,0,0,0,1,0,0,0
62,0.28326355082684496,0.14344511235610402,1.9058920453707504,0.4686183887579721,4.73614044263913,2.8338702032598997,0.17273446490573302,3.54643298312613,2.4542565736198,0.349641457632898,0.37836489171481796,0.6003753848357071,0.10525580797590099,4.72234467335971,24.0223317368256,2.10378450573023,1,0,1,0,0,1,0,1,0,0,1,0,1,1
63,0.36293142449689597,0.13922613846327805,1.97519721065696,0.315600139367614,5.7910890186781,2.88032709183793,0.23031261987431,3.7040522268206297,2.9757860955140094,0.0,0.37836489171481796,0.7452935811753599,0.168409292761441,6.42073179272593,23.7220525901153,1.26616660067097,1,0,1,0,1,0,0,1,0,0,1,1,0,1
64,0.3363754666068789,0.07594153007087899,1.49006105365349,0.272563756726576,6.236215000129151,2.30426167347035,0.287890774842888,2.83714638650091,1.71797960153386,0.0,0.36485185986786,0.26913379320221303,0.08420464638072099,5.09516135809864,25.523727470377196,3.97381517749044,1,0,0,0,0,1,1,1,0,0,1,0,0,0
65,0.354079438533557,0.084379477856532,1.31679814043797,0.35863652200865204,6.280727598274258,2.36930131747959,0.287890774842888,3.0341704411190293,1.90204884455534,0.0,0.31079973248002896,0.486511087711693,0.12630696957108098,4.88804097768813,24.0223317368256,4.51924079008716,1,0,0,0,1,1,1,0,0,1,1,1,0,0
66,0.150483761376762,0.063284608392399,1.83658688008454,0.4686183887579721,4.47796737339752,2.04410309743337,0.23031261987431,3.11298006296627,1.5952667728528702,0.42733955932909706,0.5405212738783111,0.40370068980332,0.12630696957108098,4.63949652119551,23.421773443404998,1.7921127271035302,0,0,0,0,0,0,0,1,0,1,1,0,0,0
67,0.19474369119345605,0.08859845174935901,1.76728171479833,0.688582122256613,4.22869682378493,2.40646682834202,0.115156309937155,3.34940892850802,1.71797960153386,0.0,0.324312764326987,0.4451058887575071,0.06315348478554,4.63949652119551,24.6228900302463,1.34408454532765,1,0,0,0,0,0,0,1,0,0,1,1,1,0
68,0.230151635046812,0.08859845174935901,1.38610330572418,0.215181913205191,4.64266398653441,2.6480426489477797,0.17273446490573302,3.31000411758439,2.5462911951305403,0.0,0.351338828020902,0.7349422814368131,0.08420464638072099,5.550826195001769,24.322610883536,0.7012615019100771,1,0,0,0,1,0,0,1,0,1,1,1,0,0
69,0.239003621010151,0.042189738928266,1.2821455577948702,0.272563756726576,4.56254130987322,2.0348117197177698,0.115156309937155,2.9159560083481604,1.1964500796396498,0.0,0.31079973248002896,0.4244032892804129,0.02105116159518,3.9767113038818596,24.0223317368256,3.3115126479087,0,0,0,0,0,0,0,1,0,1,0,0,0,0
70,0.398339368350251,0.07172255617805201,1.83658688008454,0.425582006116934,4.69607910430853,1.70032212195594,0.403047084780043,2.12785978987568,1.04305904378841,0.271943355936698,0.37836489171481796,0.24843119372512,0.189460454356621,4.14240760821028,23.421773443404998,3.19463573092368,0,0,0,0,0,0,0,1,0,1,0,1,0,1
71,0.398339368350251,0.084379477856532,1.38610330572418,0.301254678487268,5.475049571847861,1.88614967626807,0.115156309937155,2.2460742226465498,0.9203462151074241,0.0,0.36485185986786,0.238079893986573,0.06315348478554,4.5566483690313,24.923169176956602,3.77902031584875,0,0,0,0,1,1,0,1,0,0,1,0,0,0
72,0.22129964908347305,0.059065634499571994,1.14353522722245,0.306036498780717,4.67827406505049,1.89544105398367,0.23031261987431,2.56131271003554,1.07373725095866,0.0,0.3378257961739439,0.27948509294076,0.10525580797590099,3.76959092347135,24.0223317368256,4.12965106680379,0,0,0,0,0,0,0,1,0,1,1,1,0,0
73,0.185891705230117,0.33329893753330103,3.70782634281218,0.4877456699317671,3.9482674554707797,2.8338702032598997,0.633359704654353,3.94048109236237,2.9757860955140094,0.0,0.48646914649048,0.7349422814368131,0.31576742392770196,3.9767113038818596,24.0223317368256,2.0258665610735602,0,0,1,1,0,0,0,0,1,1,1,0,0,1
74,0.256707592936829,0.438773284853966,2.5642911155897297,0.631200278735228,4.49132115284105,3.05686326843445,0.633359704654353,3.74345703774425,3.25188996004623,0.0,0.4189039872556911,0.7452935811753599,0.23156277754698198,4.929465053770231,24.6228900302463,1.34408454532765,0,0,1,1,0,0,0,0,1,1,1,0,0,1
75,0.513415185873657,0.8986414391720658,2.2870704544449,0.6933639425500611,6.0804209066212795,3.51214077649916,0.4606252397486211,4.21631476882774,3.4666374102379702,0.0,0.6080864331131,1.2939124673183302,0.189460454356621,6.79354847746485,24.6228900302463,1.2077281421784698,0,0,1,1,0,0,0,1,1,1,0,0,0,0
76,0.486859227983641,0.312204068069168,1.97519721065696,0.315600139367614,6.4320704319676105,2.4900892277824704,1.26671940930871,2.83714638650091,1.50323215134213,0.0,0.459443082796565,0.393349390064773,0.39997207030842297,4.97088912985233,25.223448323666897,4.59715873474384,0,0,1,0,0,0,1,0,1,0,1,1,0,1
77,0.19474369119345605,0.23204356410546306,2.80685919409146,0.58816389609419,4.5758950893167505,3.2705649558934,0.23031261987431,4.09810033605687,3.2825681672164797,0.0,0.432417019102649,0.80740137960664,0.168409292761441,5.178009510262839,23.7220525901153,1.11033071135762,0,0,1,0,0,0,0,0,0,0,1,0,1,1
78,0.46915525605696295,0.2742333030337289,1.7326291321552199,0.363418342302101,6.0715183869922615,2.5830030049385297,1.32429756427728,3.2705993066607704,1.74865780870411,0.0,0.49998217833743797,0.5486188861429729,0.35786974711806296,4.5566483690313,24.923169176956602,4.9477894856988796,1,0,1,0,1,1,0,1,0,1,1,1,1,1
79,0.230151635046812,0.08859845174935901,1.35145072308108,0.602509356974536,5.09224122779996,1.9697720757085202,0.17273446490573302,2.60071752095917,1.2578064939801499,0.0,0.405390955408733,0.34159289137203996,0.04210232319036,4.0595594560460695,25.523727470377196,4.246527983788799,0,0,0,0,1,0,0,0,1,0,1,1,0,0
80,0.203595677156795,0.07172255617805201,1.8019342974414296,0.473400209051421,4.64711524634892,2.22063927402989,0.23031261987431,3.3888137394316398,1.65662318719336,0.42733955932909706,0.351338828020902,0.49686238745024,0.10525580797590099,4.68092059727761,24.322610883536,2.0258665610735602,0,0,0,0,0,0,0,1,0,1,1,1,0,0
81,0.256707592936829,0.046408712821093,2.11380754122937,0.215181913205191,4.7405917024536395,2.95465811356278,0.17273446490573302,3.7040522268206297,2.2088309162578197,0.42733955932909706,0.29728670063307105,0.55897018588152,0.25261393914216196,5.757946575412282,24.322610883536,0.584384584925064,0,0,0,1,0,1,0,1,0,0,1,0,0,0
82,0.203595677156795,0.07172255617805201,1.87123946272764,0.6264184584417789,4.4245522556233885,2.8524529586911203,0.17273446490573302,3.5858377940497594,2.36222195210906,0.0,0.405390955408733,0.7349422814368131,0.12630696957108098,5.178009510262839,23.421773443404998,0.8570973912234271,0,0,0,0,0,0,0,0,0,0,1,1,0,0
83,0.30981950871686204,0.063284608392399,1.49006105365349,0.502091130812113,4.34442957896221,2.0348117197177698,0.287890774842888,2.40369346634105,1.07373725095866,0.0,0.37836489171481796,0.3105389921564,0.04210232319036,3.60389461914294,24.6228900302463,3.8179792881770895,0,0,0,0,1,0,0,1,0,0,1,0,0,0
84,0.30981950871686204,0.050627686713919005,1.10888264457934,0.363418342302101,4.50467493228458,2.06268585286459,0.23031261987431,2.7189319537300403,1.1657718724694,0.0,0.29728670063307105,0.362295490849133,0.04210232319036,3.60389461914294,24.322610883536,4.20756901146046,0,0,0,0,0,0,0,1,0,0,1,1,0,0
