iter	MultiClass
282	0.9682455905
283	0.9680995454
284	0.9680467996
285	0.9679072078
286	0.9678372067
287	0.9677533569
288	0.9676504896
289	0.9674984946
290	0.9673791184
291	0.9671829473
292	0.9670983914
293	0.9669601916
294	0.9668735407
295	0.9667571194
296	0.9665749022
297	0.9664406645
298	0.9663398811
299	0.9662467661
300	0.9661765878
301	0.9660842977
302	0.9659906232
303	0.9659032639
304	0.9658453737
305	0.9657573784
306	0.9656254291
307	0.9655524266
308	0.9654557644
309	0.965361165
310	0.9652604925
311	0.9651164079
312	0.9650149071
313	0.9648410756
314	0.9647517968
315	0.9646046166
316	0.9645037639
317	0.9643229187
318	0.9642138976
319	0.9641303964
320	0.9639859377
321	0.963924776
322	0.9637853835
323	0.9636830626
324	0.9634825852
325	0.9633959249
326	0.9633100919
327	0.9632271857
328	0.9630734383
329	0.9629937178
330	0.962911327
331	0.962792725
332	0.9626869652
333	0.9626044915
334	0.9624633998
335	0.9623684811
336	0.9622702072
337	0.9621651244
338	0.9620992749
339	0.9620041362
340	0.961872883
341	0.9617735314
342	0.9616973695
343	0.9616362113
344	0.9615213229
345	0.9614071245
346	0.961282066
347	0.9611469658
348	0.9610617215
349	0.9609953722
350	0.9608729142
351	0.9607402898
352	0.9606292541
353	0.9605054953
354	0.9604308902
355	0.9603124248
356	0.9602314347
357	0.9601107877
358	0.9600437701
359	0.9599892189
360	0.9598827137
361	0.9597893155
362	0.9596296817
363	0.9595231065
364	0.9594363607
365	0.9593093044
366	0.9591953697
367	0.9591483759
368	0.9590428723
369	0.9589632603
370	0.9588597652
371	0.9587756023
372	0.9586207195
373	0.9585586356
374	0.9585071275
375	0.9583869125
376	0.9583064069
377	0.9582113909
378	0.9580692088
379	0.9579085685
380	0.9578287999
381	0.9577799372
382	0.9576711104
383	0.9575630799
384	0.9574127118
385	0.9572688555
386	0.9571740467
387	0.9570883109
388	0.9569537963
389	0.956885462
390	0.9567903071
391	0.9567136558
392	0.9565983974
393	0.9565059739
394	0.9564095465
395	0.9563214975
396	0.9562209983
397	0.9561228113
398	0.9560594046
399	0.9559589665
400	0.9558676544
401	0.9557667262
402	0.9556641692
403	0.955558025
404	0.9555194034
405	0.9553990838
406	0.955277508
407	0.9552215697
408	0.9550539246
409	0.9549532176
410	0.9548633301
411	0.9547674334
412	0.9546681022
413	0.9545367035
414	0.9544741231
415	0.9543628233
416	0.9542865916
417	0.9542195417
418	0.954069264
419	0.9539702949
420	0.9538851325
421	0.9538241046
422	0.9537297213
423	0.9535969364
424	0.9535083102
425	0.9533926321
426	0.9532957679
427	0.9531638183
428	0.9530296544
429	0.9529018549
430	0.9528248599
431	0.9527449255
432	0.952618404
433	0.9524773869
434	0.9523665174
435	0.9522804049
436	0.9521865709
437	0.952111228
438	0.9520045934
439	0.9519110234
440	0.95179288
441	0.9516751371
442	0.9515967494
443	0.9514900962
444	0.9513794704
445	0.951261295
446	0.9511537855
447	0.9510327082
448	0.9509830937
449	0.9508888864
450	0.9508108673
451	0.9506885754
452	0.950580543
453	0.9504805084
454	0.9504361924
455	0.9503226146
456	0.9502079677
457	0.9501230691
458	0.9500542443
459	0.9499447888
460	0.9498531231
461	0.9497311494
462	0.9496346849
463	0.9495534971
464	0.9494321161
465	0.9492880807
466	0.9491953684
467	0.949131236
468	0.9490442797
469	0.9489248001
470	0.9488305685
471	0.948778571
472	0.9486896581
473	0.9486144028
474	0.9485008169
475	0.9483764878
476	0.9482169563
477	0.9480975313
478	0.9480098613
479	0.9478879985
480	0.9478325291
481	0.9477052134
482	0.9475793053
483	0.9474224675
484	0.9473415378
485	0.9472059978
486	0.9471212233
487	0.9470358034
488	0.946916901
489	0.9468057479
490	0.9466592492
491	0.9466053557
492	0.9464972367
493	0.9464110487
494	0.9462688876
495	0.9461755341
496	0.9460866863
497	0.9460065927
498	0.9458630082
499	0.9457456445
