ids,article,advertisement,conflict_of_interest,fan_point_of_view,press_release
10,"New Jersey's 5th congressional district Scott Garrett R won in 2004 with 58 of the vote against Anne Wolfe D in what is normally a Republican district. Democrat Paul Aronsohn challenged Garrett. This district gave George W. Bush a 184,530 137,019 plurality over John Kerry in 2004 and the district was one of two New Jersey districts carried by Bob Dole in 1996 when he lost badly in the rest of the state. CQPolitics rating Republican Favored. Results Garrett defeated Aronsohn, 55 to 44 . Paul Aronsohn was the Democratic Party nominee. Aronsohn was 40 years old and lived in Ridgewood at the time of the election. He was a former staffer in the Clinton Administration and in the administration of former Governor of New Jersey Jim McGreevey. He worked on foreign policy and national security issues in Clinton's State Department and worked as Communications Director and Spokesman for former governor McGreevey for one year. Aronsohn resigned his position as a public affairs executive for Pfizer to focus on his campaign. Aronsohn is a graduate of George Washington University, where he earned a Bachelor of Arts degree in Political Communication and a Master of Arts in Political Science. During school, he was a congressional intern for former Democratic Senator Bill Bradley of New Jersey and Senator Charles Robb of Virginia. Aronsohn also served three American ambassadors to the United Nations Madeleine Albright, Bill Richardson, and Richard Holbrooke. On September 22, 2006, Aronsohn appeared on The Colbert Report as part of the program's Better Know a District segment, after Garrett declined to appear.",0,0,0,0
11,"2017 Union Budget of India is the It was presented before the parliament on 1 February 2017 by the Finance Minister of India, Arun Jaitley with 21.47 lakh crore rupees US 336.39 billion budget size. The Finance Minister of India started speech by quoting Madam Speaker, On this auspicious day of Vasant Panchami, I rise to present the Budget for 2017 18. Spring is a season of optimism. I extend my warm greetings to everyone on this occasion. In his speech the Finance Minister of India, Arun Jaitley has quoted that the Agenda for 2017 18 is Transform, Energise and Clean India TEC India. He further went to explain that TEC India means to The printing of the budget documents began with a traditional Halwa ceremony in January 2017.32 It's the first budget after major changes in the economy like Goods and Services Tax India and 2016 Indian banknote demonetisation. Railway budget will be merged with the Union budget and classification of plan and non plan expenditure has been done away with starting from the year 2017 by Narendra Modi led Government of India. Finance Minister Arun Jaitley presented Finance Bill on 21 March 2017. He has suggested major overhaul in the bill. 40 changes have been suggested by him in the existing legislations. Some of the major changes are",0,0,0,1
12,"2018 Libya migrant shipwrecks began on January 9, 2018, when up to 100 migrants went missing as their migrant rubber boat was punctured and sank off Libya's coast. On January 9, 2018, up to 100 migrants went missing from Libya when their rubber boat was punctured and sank off Libya's coast. Libyan coastguard had picked up nearly 300 migrants from three boats off the coast, but one rubber boat was punctured and the coastguard only found 16 survivors clinging to its wreckage. The coastguard said the number of missing might be as high as 100. The boat sank off the city of Khoms, around 100 kilometres 60 miles east of the Libyan capital. Libyan coastguard picked up nearly 300 migrants from three boats off the coast of Libya on Tuesday, January 9, 1980. On January 6, 2018, sixty four people died after a dinghy sank in the Mediterranean. The Italian coastguard rescued 86 people from the boat hours after it sustained a puncture and started sinking on Saturday morning. The deaths represented the first large scale migrant tragedy of 2018 in the Mediterranean. A total of 2,832 migrants died on the Central Mediterranean route between Libya and Italy in 2017, down from 4,581 in 2016. The number of migrants who reached Italy in 2017 was 119,310, down from 181,436 in 2016.",0,0,0,1
13,"A.A. Turki Group commonly known as ATCO, Arabic is a very diversified business group based in Dammam in Saudi Arabia, and active since the mid 1950s. It is wholly owned by Abdulrahman Ali Al Turki. The group has twenty three different divisions, joint ventures and standalone companies. Its activities comprise trading, construction, retail, IT services, tourism, chemicals, construction materials and others. Honeywell and ABB count among its partners. The group doesn't disclose its figures, but its revenue is believed to be at least 2 Billion SAR 1 3.75 SAR . Its different subsidiaries employ more than 3000 people. ATCO comprises 23 divisions, joint ventures and standalone companies. The group offers a wide range of products and services, including the following",1,0,0,0
14,"A.P.N.G. Enterprises, Inc. Association for the Protection of the New Generation is based in New York City and was founded in 2006. The creators, J.D. Matonti, Chris Matonti and Julia Coppola, are experienced in film production and direction. A.P.N.G. is a creator, developer, and producer of intellectual properties specifically designed for rollout as multi platform franchises.",1,0,0,0
15,"Air to Air Simulations A2A specializes in the development and publication of flight simulations, strategy games, visual effects, and sound. The company is based in Simsbury, Connecticut. Formerly known as Shockwave Productions Inc. see History below , the company designs flight simulation products. A2A also has designed its own proprietary Air Combat computer game engine called the Merlin Air Combat Engine , which is used in A2A's 2005 release, Battle of Britain II Wings of Victory. The release was met with many favorable reviews, and won several awards including the SimHQ Best of 2006 award. A2A Simulations was formerly known as Shockwave Productions Inc. . On May 14, 2008 Shockwave rebranded its corporate name to Air to Air Simulations Inc A2A . Air to Air Simulations states that its name change was triggered by reports of customer confusion between Shockwave Productions and a popular online gaming website known as Shockwave. In an effort to better serve their customers and avoid any further confusion, a company name change was in order. In 2019, A2A Simulations announced their first X Plane project in partnership with Airtech Simulations and the X Plane developer Laminar Research.",1,0,0,0
16,ART21 TV Armenian 21 The Only Cultural Television company of Armenia,1,0,0,0
17,"Ahmad Aali Persian , born 1935 in Tabriz is an Iranian photographer and artist. Interviews, critics, published articles and essays about photography Before 1979 before Iranian Revolution More than 18 published materials in Khoushe, Keyhan international, Journal de Teheran, Tehran Journal, Bamshad Magazine, Etela'at newspaper, Tamasha Magazine, Tasvir Magazine, Ayandegan Magazine, Donya ye Jadid Magazine, Omid e Iran Magazine. After 1979 after Iranian Revolution More than 18 published materials in Aks Magazine, Kelk Magazine, Hamshahri newspaper, Mehr Magazine, Salam newspaper, Eghtesad newspaper, Akhabr newspoaper, Rooz e Haftom weekley magazine, Zaman Monthley magazine, visual art's magazine, Me'yar magazine, Iran newspaper, Tandis Magazine, Etemad Magazine, Herfeh Honarmand magazine.",1,0,0,0
18,"Aanval is a commercial SIEM product designed specifically for use with Snort, Suricata, and Syslog data. Aanval has been in active development since 2003 and remains one of the longest running Snort capable SIEM products in the industry. Aanval is Dutch for attack . Aanval was created by Loyal Moses in 2003 but was not publicly made available until March 2004 where it was released under the private commercial license C1 RA1008. Throughout the lifecycle of the software it has also been referred to as OpenAanval and ComAanval in addition to its current and registered trademark name Aanval. Aanval's original success was in providing AJAX style, security event monitoring and reporting from a web browser. Since Aanval's creation, it has become an intrusion detection, correlation and threat management console with a specific focus on normalizing Snort, Suricata, and Syslog data. In 2010, Aanval was the first intrusion detection vendor to provide an integrated iOS App that allowed users to view security events remotely from an iPhone, iPad and iPod Touch. Several information security related books have been published that include details and references to Aanval, including Linux Server Security, Second Edition by O'Reilly Media, Security Log Management by O'Reilly Media, Snort IDS and IPS Toolkit by O'Reilly Media and in 2010 Unix and Linux System Administration Handbook, Fourth Edition by O'Reilly Media.",1,0,0,0
19,"Joyce Ababio is a Ghanaian fashion designer. Joyce Ababio attended Achimota School, one of the elite schools in Ghana. After her secondary education, she gained admission into the St. Cloud State University in Minnesota, USA, where her major was in Medical Technology. However, her love for high fashion and haute couture made her abandon this course to obtain a degree in Fashion Design at the Texas Womens University in Dallas. Ababio is also a fashion designer. Some of her achievements include, Best Formal Evening Wear Award, Miss World 1995, Sun City , Ebony Award for Bridal and Pageantry 1999 , Best Evening Wear, Miss Ghana 2000 , Best Formal Evening Wear, Miss World 1995 , Fashion Contributor Award in Education and Mentoring, Ghana Fashion Awards 2012 and the esteemed, Life Time Achievement Award, Glitz Africa Fashion Week 2013 . Joyce Ababio has been awarded with many achievements including Below is a list of awards she has won",1,1,0,0
20,"Abbas Cultural Organization is a cultural organization founded by late Mr. V. Jayaraman. The academy has organized several light music programmes in Chennai The organization has been instrumental in promoting cultural activities like stage dramas and carnatic music, which otherwise lose significance in today's world. The organization has staged numerous dramas of comedy script writer Crazy Mohan and slapstick comedy actor S.V.Shekhar. The reach of the programmes conducted by the organization extends to the Tamil film industry. The felicitation programme for late comedy actor Nagesh Endrendrum Nagesh is a case in point. The organization, through its light music programmes, has made it possible for music lovers in Tamil Nadu to relive the good old days of Tamil film music. Every year, Abbas Culturals organizes Kalai Vizha for 2 weeks in January with grand musical and dance events celebrating Carnatic music",1,0,0,0
21,Raouf Abbas 24 August 1939 26 June 2008 was an Egyptian historian and a professor of modern history at Cairo University and president of the Egyptian Society of Historical Studies.,0,0,0,0
22,"The Abbey DLD Colleges Group is a group of independent sixth form colleges based in the United Kingdom, in London, Manchester, and Cambridge. The colleges are operated by the Alpha Plus Group. London and Cambridge have new campuses. The oldest College, Davies Laing and Dick College DLD was established in 1931. After 10 years located in Marylebone, the College merged with its younger sister Abbey College and moved in 2015 to a new facility in Lambeth. DLD College London has 21st century teaching facilities and a secure, on site student Boarding House. In 2018, DLD College London became the first ever educational establishment in the UK to hold a graduation ceremony at the Houses of Parliament. Irfan Latif is the current Principal of the College. Alumni include actors Phoebe Waller Bridge and Daisy Lewis. Abbey College Cambridge opened in 1994. In 2015 2016 academic year, 61 of students in Cambridge centre got A A grades. Dr Julian Davies has been the principal there since 2002. As a provider of A Level and GCSE education since 1990, Abbey College Manchester also offers International Foundation Programme pathways in Business, Science, Engineering, Humanities and Creative Arts. There are three major faculties within the college Science Mathematics, Arts Humanities, and Languages International Studies. Manchester campus is based in the heart of the city centre. Ms Liz Elam is the principal.",1,0,0,0
23,"Abbott Informatics is a subsidiary of Abbott Laboratories that develops and sells web based laboratory information management systems LIMS software used to manage the collection, processing, storage, retrieval and analysis of information generated in laboratories. The company was founded by Itschak Friedman and Dinu Toiba in Israel in 1986, was originally named Laboratory Information Management Systems, and developed and sold LIMS software called Starlims the company itself eventually was renamed to Starlims. By 2005, the company's software was installed at the US Centers for Disease Control and Prevention and in systems of state health authorities in 12 US states. The company held its IPO in the US in 2007. Friedman served as CEO until the company was acquired by Abbott Laboratories in 2009 for 123 million at that time the company had 160 employees and most of its operations and sales were in the US, the UK, and Hong Kong. By the time of the sale, Starlims was offered as a web application. Abbott intended to fold Starlims' products offerings into its other health information technology businesses to strengthen its clinical diagnostics business. In 2014, Abbott changed the subsidiary's name from Starlims to Abbott Informatics. Configuration Build Win 7 Win 8.1 11 SQL Server 2012 SP2 2014 SP1 Oracle 12c Oracle 11g R2 2008 R2 SP1 2012 R2 QM Quality Manufacturing FR Forensic ES Environmental Sciences US centric CL Clinical not medical device . Biorepository some in QM, some in CL.",1,0,0,0
24,"ABCya.com, L.L.C. also stylized as ABCya is a website that provides educational games and activities for school aged children. The games on the website are organized into grade levels from pre kindergarten to fifth grade, as well as into subject categories such as letters, numbers, and holidays. Many of the games meet standards associated with the Common Core State Standards Initiative. ABCya.com was founded in 2004 by Alan Tortolani. A public school teacher, Tortolani created his own activities for his students. Later, he decided to register a domain under ABCya.com. Tortolani chose this particular domain name ABCya to make it accessible to children and easy to type into a web browser. In April 2017, Lisa Tortolani took over as Chief Executive Officer. ABCya.com has developed and published many apps for iPhone and iPad including Math Bingo allows children to practice their math facts by answering simple math questions and selecting the correct answer in the bingo grid. It has been featured in The New York Times, O'Reilly Medias Best iPads Apps book, Scholastic Parent Child, Disney Family Fun Magazine, 2014 Apps for iPad iPhone, and iPhone App Directory. Create a car allows children to use their imagination to create a car. This app has been featured in 101 Top iPad Apps for Kids Educational Fun, The 2011 iPad Handbook, and iPad for Beginners.",1,0,0,0
25,"John Abdo is an American health and fitness expert coach, businessman, nutritionist, motivational speaker and a TV personality. He has worked as a Strength Conditioning Coach for numerous U.S. Olympic team athletes for the 1976, 1980, 1984, 1988 Olympic Games. Abdo has been a part of fitness profession for more than four decades and was inducted into the National Fitness Hall of Fame in 2007. He has authored several books including Body Engineering, Make Your Body a Fat Burning Machine , Ultimate Sexual Health Performance , and Brain Sensation Motivation . His AB Doer invention was particularly popular, and has generated five hundred million dollars in sales since 1997. John is also the formulator and spokesperson for Androzene, a male sexual health supplement, and Flozene, a prostate health formula for men.",1,0,0,0
26,"Major General Suraj Alao Abdurrahman DSS psc fwc PhD Edin FNIA MNIM c. 1954 28 January 2015 was an architect, Engineer officer of the Nigerian Army, who served as Command Officer in Charge of the Armed Forces of Liberia. He was born on 9 September 1954. Abdurrahman was educated at LEA Primary School, Maiduguri Road, KADUNA 196167 Government College, KEFFI WASC, 1972. He entered the Nigerian Army as an officer cadet on NDA Regular Course 14 in 1973. He then attended the Nigerian Defence Academy, KADUNA NDACE, 1974 the Engineer Officers' Orientation Course EYOOC NAETS, 1976 the Unit Security Officer's Course NAIS, 1976 Ahmadu Bello University, ZARIA BSc Arch , 1979 the Engineer Young Officers' Course EYOC NASME, 1981 Ahmadu Bello University, ZARIA MSc Arch , 1981 Heriot Watt University, Edinburgh, UK PhD Arch , 1985 Army Junior Staff Course AJSC CSC, 1986 Engineer Squadron Commanders' Course NASME, 1986 Senior Command and Staff Course CSC CSC, 1988 Commanding Officers' Course COC ICS, 1992 National War College 2000 International Joint Operations Planning Course IJOPC UK, 2003. He died in New York City while undergoing medical treatment for an undisclosed illness on 30 January 2015. His professional qualifications includes He was survived by his wife Fatima Wali Abdurrahman and his four sons, Surajudeen, Abduljabbar, Abdulaziz and Abdulmalik, from his previous marriage. His hobbies included photography, travelling, golf and basketball. Promotion history",0,0,0,1
27,"Abhinav Hitech College of Engineering AHTC established 2002 .Located in Himayatnagar village, C.B. Post, near the famous Chilkur Balaji Temple, Moinabad, Hyderabad.Approved by AICTE Affiliated to Jawaharlal Nehru Technological University, Hyderabad. JNTUH . Abhinav Hitech College of Engineering College Code AHTC Formerly Hi Tech College of Engineering Technology was established in 2002 under the eminent administrator Sri. K. Ram Reddy, I.A.S Retd. , with the approval of All India Council for Technical Education. It is affiliated to Jawaharlal Nehru Technological University, Hyderabad. Students are admitted into the Five branches of engineering under the following categories. The Government of Telangana allows admission of diploma holders into 2nd year under lateral entry scheme to the extent of 10 of intake to each of the branches on a supernumerary basis.",1,0,0,0
28,"Russell Abrams is an American hedge fund manager and entrepreneur who is the founder of Russellcar, a taxi cab company in Buenos Aires. Abrams started a career on Wall Street working at Goldman Sachs Asset Management developing quantitative models and doing research for Fischer Black, co developer of the Black Scholes options pricing model. Between 1997 and 2000, Abrams was the co head of Equity Derivatives and Convertible Arbitrage at Merrill Lynch. In 2001, Abrams founded Titan Capital Group, which was one of the first volatility arbitrage funds and at its height had over 1 billion AUM. Titan funds were included in the Wall Street Journal's list of The Hedge Fund 100 in 2009 and 2010, and won Hedgeweek's award for Best Relative Fund Manager in 2012. While at Titan, Abrams made strategic investments in Argentina, which led to Abrams and his wife, Sandra Piedrabuena, founding Russellcar, which is the largest taxi company in Argentina. Abrams has pledged to spend over 100 million on sustainable only vehicles. According to Forbes, Russellcar is dedicated to promoting gender equality in multiple facets ... The company recruits women as drivers in order to help them become small business owners. Russellcar also provides credit financing for female drivers. Russellcar assists employees with setting up bank accounts fifty percent of Argentinians are unbanked as of 2018 , provides healthcare to employees and helps them pay part of their taxes. Thirty percent of the company's management team and administrative positions are held by women. Abrams helped fund an endowment for the New York Public Library Young Lions Fiction Award.",0,0,0,1
29,"Susan Abrams born 1964 is an American business executive who is the Chief Executive Officer of the Illinois Holocaust Museum and Education Center. Abrams was born in New York City and attended the University of Pennsylvania, graduating in 1986 from the Wharton School summa cum laude. Abrams went on to get her Master of Management from Kellogg Graduate School of Management at Northwestern University. Abrams has served on the Chicago Childrens Museum Board of directors as well as the Board of Advisors for the Womens Business Association and Center for Nonprofit Management at Kellogg School of Management. After graduation, Abrams became a financial analyst at Goldman Sachs and, later, a management consultant at McKinsey Company. After McKinsey, Abrams took the position of Vice President of Business, Strategic Planning, Marketing and Communications at the Chicago Childrens Museum. In 1997, Abrams left the Chicago Childrens Museum. Three years later, she published The New Success Rules for Women 10 Surefire Strategies for Reaching Your Career Goals. After this, she founded a residential real estate company. In 2009, Abrams became the Director of Program Review at Northwestern University. After two years there, Abrams moved on to become COO of JCC Chicago. Since 2014, Abrams has been the CEO of the Illinois Holocaust Museum and Education Center.",1,1,0,0
30,"Coordinates 332850N 1120224W 33.480487N 112.039928W 33.480487 112.039928 Abrazo Arizona Heart Hospital specializes in cardiovascular care in Phoenix, Arizona, United States and is owned by Abrazo Community Health Network. Since 1998, Abrazo Arizona Heart Hospital has served as the areas leading hospital for the diagnosis and treatment of heart and vascular disease. The hospital has distinguished itself as one of the nations top 100 cardiovascular hospitals, recognized for surgical performance, clinical efficiencies, and better patient outcomes. Arizona Heart Hospital was purchased by Abrazo Community Health Network, a subsidiary of Vanguard Health Systems, in 2010. Abrazo Health Care is the second largest health care delivery system in Arizona, United States. In 2013, Vanguard was acquired by Tenet Healthcare.",1,0,0,0
31,"Kareem Abu Elmagd born June 16, 1952 is an Egyptian American surgeon practicing abdominal organ transplantation and digestive system surgery. He is best known for development of clinical intestinal and multivisceral transplantation and its approval by the American government as the standard of care for patients with gut failure. Abu Elmagd was born in Mansoura city the capital of Dakahlia Governorate in 1952. In 1976 he obtained his medical degree and trained surgery at school of medicine Mansoura University. In 1987 earned his PhD in liver diseases and portal hypertensive surgery through a joint collaboration between Emory University in Atlanta and Mansoura University. In 1989, joined University of Pittsburgh to get clinical fellowship in transplantation surgery. Abu Elmagd worked closely for a long time during his medical career with surgeons Farouk A. Ezzat, W. Dean Warren, and Thomas E. Starzl. With more than 400 peer review scientific publications, his work has been cited 16728 times between 2009 and 2017. In 1989, he was introduced to the field of organ transplantation by the late professor Thomas E. Starzl, the father of modern transplantation after that in 1990, Abu Elmagd and his colleagues launched an intestinal and multivisceral transplant program which performed more than 450 intestine transplants surgery. He is also known for His contribution to the clinical introduction of the immunosuppressive drug FK 506 currently known as Tacrolimus and the concept of gut rehabilitation with novel autologous surgical techniques particularly in patients with complex abdominal pathology and congenital anomalies. Now Abu Elmagd is professor of surgery at Case Western Reserve University and the director of the gut rehabilitation and transplantation center at Cleveland clinic. Abu Elmagd's most notable achievements include",1,0,0,0
32,"AC4 is the first album by the Swedish band AC4, first released by Ny Vag Ny Vag 123 in Sweden, 2009, and later on Deranged DY 161 in Canada, 2010, and on Shock Entertainment Epitaph Records CTX611CD in Australia, 2011. All releases feature the same cover design, but the coloration varies from country to country. AC4 was the first and only album the two original Refused members Lyxzen and Sandstrom have made together since The Shape of Punk to Come 1998 , until the release of Freedom in 2015. It was also one of the very few pure hardcore punk albums to be reviewed in the Swedish national newspapers. All songs written by AC4. The official video for the track Won't Bow Down was filmed at the Arthouse in Melbourne during the band's Australian tour in April 2011. It was directed by Rhys Day.",1,0,0,0
33,"Acacia Research Corporation, founded in 1993, is an American company based in Newport Beach, California. Acacia partners with patent owners such as inventors and universities to license patents that are infringed. Roughly, 95 of the company's business involves licensing infringed patents on behalf of patent owners to some of the world's largest corporations through patent litigation. Acacia creates a subsidiary company that acts as a special purpose entity for each set of patents that it enforces. The patent owner assigns the infringed patents to the subsidiary and the subsidiary then licenses the patents to companies who are infringing. Acacia and the patent owner split any revenues generated from licensing the patents on a 50 50 basis. . Since the year 2000, Acacia has generated 1.4 Billion in revenue from licensing patents and has paid out over 731 Million to inventors and other patent owners. The company has formed 233 known subsidiaries and has litigated 1,412 cases, four of which were not through a subsidiary. . Acacia has been referred to as a non practicing entity because the company derives revenue from licenses and lawsuits rather than from building products.",1,0,0,0
