id,dered_i,dered_z,dered_u,dered_g,dered_r,err_i,err_z,err_u,err_g,err_r,extinction_r,skyVersion,run,rerun,camCol,field,obj,photoz,#ra,dec,class
21,21.1395,20.8476,22.1665,22.0788,21.5266,0.51186,1.0401799999999999,1.00037,0.3363,0.3329,0.26408000000000004,1,745,40,2,518,40,0.9142299999999999,236.23067000000003,-0.50412,1
22,20.607,22.4159,23.066,22.2638,22.2431,0.31487,3.6684900000000003,2.66925,0.5139,0.6362300000000001,0.26387,1,745,40,2,518,41,1.1987,236.23162000000002,-0.50185,1
23,21.2384,22.2203,26.8132,22.467,23.3694,0.64423,3.46011,0.68862,0.47657,2.11215,0.26398,1,745,40,2,518,42,2.61652,236.23265,-0.5020100000000001,0
24,20.669,23.5446,25.320999999999998,24.3165,22.1779,0.24873,2.19329,1.9037400000000002,1.82695,0.60044,0.26426,1,745,40,2,518,43,1.04894,236.22869,-0.5068199999999999,1
25,20.7668,24.104,23.7816,22.9853,22.3544,0.35766,1.90615,3.87114,0.9717,0.91028,0.26476,1,745,40,2,518,44,0.5422,236.23882999999998,-0.50383,1
26,21.0162,24.004,21.914,22.6628,22.4366,0.4462,2.06103,1.03819,0.73478,0.9796299999999999,0.26533,1,745,40,2,518,45,1.4036,236.23412000000002,-0.51151,1
27,20.7632,21.6945,22.2072,23.093000000000004,22.9818,0.27108000000000004,2.0190599999999996,1.0361200000000002,0.8205600000000001,1.20509,0.26383,1,745,40,2,518,46,0.65261,236.22936,-0.5031,1
28,21.4459,22.6161,23.1932,23.2937,23.1197,0.39854,1.43642,1.1179,0.52428,0.70326,0.26359,1,745,40,2,518,47,0.5063,236.23256,-0.49901,1
29,19.2189,19.9518,22.0363,20.7804,19.171,0.8417899999999999,2.2126900000000003,0.9366899999999999,1.0866200000000001,0.52351,0.26485,1,745,40,2,518,48,3.86725,236.2356,-0.50679,0
30,16.7829,16.7677,18.076,17.1534,16.8758,0.00499,0.01554,0.01831,0.004070000000000001,0.00404,0.26958000000000004,1,745,40,2,518,51,2.37475,236.23548,-0.54365,0
31,20.487,20.4565,21.6404,24.604,22.1094,0.27235,0.95847,0.81695,2.5323700000000002,0.5665,0.26945,1,745,40,2,518,52,1.8323200000000002,236.23675,-0.5418,0
32,24.1869,23.6805,22.8788,22.9887,23.1383,1.54809,0.97564,0.8844200000000001,0.37808,0.72012,0.26936,1,745,40,2,518,53,0.36917,236.23536000000001,-0.54203,0
33,15.6517,15.5109,18.7727,16.7123,15.9155,0.00247,0.00579,0.03017,0.00323,0.00237,0.26227,1,745,40,2,518,55,3.35984,236.23651,-0.46298,0
34,14.0999,14.0461,16.6863,14.8757,14.2583,0.00148,0.00243,0.0076,0.0016300000000000002,0.0013599999999999999,0.26221,1,745,40,2,518,57,3.21735,236.23767999999998,-0.43036,0
35,16.0822,16.0545,18.0149,16.7083,16.2291,0.0036200000000000004,0.0095,0.0178,0.00325,0.00285,0.27783,1,745,40,2,518,60,2.48373,236.24263,-0.6066600000000001,0
36,20.3433,19.7127,24.0259,24.7,22.0532,0.25769000000000003,0.21641,1.46261,0.9062399999999999,0.55809,0.27789,1,745,40,2,518,61,4.880730000000001,236.2423,-0.60749,0
37,15.7347,15.6755,17.6085,16.3276,15.8695,0.00259,0.0065,0.01315,0.0027300000000000002,0.00235,0.26208000000000004,1,745,40,2,518,64,2.5315,236.24723999999998,-0.43395,0
38,18.9889,18.6805,23.0738,20.7418,19.5933,0.030289999999999997,0.08131000000000001,1.12463,0.06414,0.03269,0.26204,1,745,40,2,518,65,2.44895,236.24812000000003,-0.43771000000000004,0
39,19.7166,19.9465,23.1652,20.9678,20.1521,0.06215,0.2287,1.12716,0.0692,0.06706000000000001,0.26203000000000004,1,745,40,2,518,66,3.0335799999999997,236.24839,-0.43917,0
40,19.8087,19.1303,23.8374,21.9886,20.6521,0.08816,0.16838,2.39474,0.23275,0.11252999999999999,0.26204,1,745,40,2,518,67,0.9300200000000001,236.24875,-0.43585,0
41,20.6345,20.1851,22.5325,21.1835,20.7246,0.32566,0.6593100000000001,1.24666,0.28284000000000004,0.43282,0.26205,1,745,40,2,518,68,2.04635,236.24764,-0.43856000000000006,1
42,20.9428,22.4397,22.7909,22.6313,21.36,0.67893,5.26296,2.1684900000000003,0.83844,0.43431000000000003,0.26205,1,745,40,2,518,69,0.49376000000000003,236.24792000000002,-0.43668,0
43,16.5482,16.5024,17.9534,16.9663,16.6339,0.00502,0.0126,0.01696,0.0037700000000000003,0.00371,0.27441,1,745,40,2,518,72,1.95252,236.24948999999998,-0.5721,0
44,20.2108,19.1704,24.1768,22.7905,22.0066,0.19824,0.23561999999999997,3.1386700000000003,0.6907300000000001,0.64175,0.27458,1,745,40,2,518,73,0.94116,236.25072000000003,-0.57253,0
45,19.3617,19.3729,20.6636,19.8736,19.8312,0.09431,0.31372,0.30718,2.14566,0.11828,0.27442,1,745,40,2,518,74,1.6705599999999998,236.24812999999997,-0.57307,1
46,17.8616,17.8099,19.1201,18.2436,17.985,0.01176,0.03866,0.040760000000000005,0.00811,0.00895,0.27063000000000004,1,745,40,2,518,75,2.42686,236.25077000000002,-0.5415300000000001,0
47,15.5585,15.5379,17.1836,16.0431,15.6689,0.00238,0.00592,0.01012,0.0024100000000000002,0.00216,0.26189,1,745,40,2,518,77,2.61675,236.25659,-0.44105,0
48,14.9266,14.912,16.6084,15.4295,15.0336,0.00225,0.00462,0.007809999999999999,0.0019399999999999999,0.00172,0.2737,1,745,40,2,518,80,2.53471,236.2591,-0.5593,0
49,18.5116,18.354,19.8946,19.0311,18.5782,0.0231,0.0593,0.07712000000000001,0.03682,0.0185,0.2739,1,745,40,2,518,81,1.6154899999999999,236.26196000000002,-0.55874,0
50,18.5369,18.0609,21.4408,19.3034,19.5664,4.60714,4.20217,11.41034,6.02009,14.26433,0.27374,1,745,40,2,518,82,2.7963,236.26002000000003,-0.55895,0
51,16.2834,16.0406,17.8436,16.7786,16.4061,0.0035600000000000002,0.0087,0.015609999999999999,0.0033399999999999997,0.0030800000000000003,0.26509,1,745,40,2,518,84,1.9941,236.26377000000002,-0.48918999999999996,0
52,15.5448,15.4112,18.7132,16.6138,15.7949,0.00232,0.00541,0.02889,0.0030800000000000003,0.0022600000000000003,0.26247,1,745,40,2,518,86,3.3579199999999996,236.27542999999997,-0.46113999999999994,0
53,16.3007,16.108,19.2673,17.4571,16.6425,0.00379,0.00963,0.048589999999999994,0.00505,0.0036899999999999997,0.27518000000000004,1,745,40,2,518,88,2.43095,236.27831,-0.5563100000000001,0
54,12.0364,12.0846,14.7083,13.005,13.8618,0.00056,0.00899,0.0234,0.00344,0.0019,0.27305999999999997,1,745,40,2,518,91,0.75339,236.28125,-0.5373,0
55,24.1549,14.0395,15.6386,15.8535,18.8964,767.1581,0.76003,0.26284,0.38678,7.572139999999999,0.27307,1,745,40,2,518,92,0.38372,236.2814,-0.53728,0
56,20.4561,21.125999999999998,22.8047,22.0112,21.2042,0.34415999999999997,1.7528599999999999,2.2299599999999997,0.41394,0.32681,0.27352,1,745,40,2,518,93,1.1195700000000002,236.28508,-0.53767,0
57,20.5518,20.3712,25.2662,23.028000000000002,22.8606,0.28994000000000003,0.89056,2.53903,1.01563,1.42014,0.27219,1,745,40,2,518,94,1.75755,236.27909,-0.5324,0
58,19.222,18.7321,21.0132,20.272000000000002,27.7247,0.25856999999999997,0.93737,2.17923,0.39328,1.70687,0.27282,1,745,40,2,518,95,1.38093,236.27697999999998,-0.53897,1
59,20.701999999999998,20.4419,23.511999999999997,22.7679,22.4243,0.265,0.73244,3.21048,0.62738,0.75337,0.2721,1,745,40,2,518,96,2.4710400000000003,236.27726,-0.53317,0
60,20.8047,22.0916,22.7865,22.8728,22.4185,0.28257,2.5403,1.6973200000000002,0.68799,0.7490899999999999,0.27323000000000003,1,745,40,2,518,97,0.9158299999999999,236.28547999999998,-0.5350699999999999,1
61,20.5915,21.3507,23.7317,22.8296,22.116,1.5804799999999999,2.4008700000000003,4.69043,0.9899,1.23508,0.27374,1,745,40,2,518,98,0.66713,236.28517000000002,-0.53927,1
62,19.9963,20.0788,20.6132,27.9756,27.9519,0.5272399999999999,3.2151099999999997,1.51027,1.21659,1.3862,0.27251,1,745,40,2,518,99,1.42692,236.28228,-0.53222,1
63,16.3288,16.2628,18.4706,16.9743,16.4637,0.0036299999999999995,0.01013,0.023809999999999998,0.0036899999999999997,0.00316,0.26159,1,745,40,2,518,102,2.59838,236.28122000000002,-0.42539,0
64,19.4035,19.0314,21.4065,20.5811,19.712,0.10323,0.27338,0.66247,0.11425,0.06427000000000001,0.26153000000000004,1,745,40,2,518,103,0.24915,236.28265,-0.4276,1
65,19.901,19.9466,21.1949,20.723000000000003,20.1054,0.16147999999999998,0.52286,0.47071999999999997,0.1144,0.11810999999999999,0.26163000000000003,1,745,40,2,518,104,0.33334,236.2787,-0.42601000000000006,1
66,20.2507,19.9604,22.910999999999998,21.4202,20.6328,0.17332999999999998,0.48146000000000005,1.8983299999999999,0.19493,0.15,0.26164,1,745,40,2,518,105,0.93748,236.27909,-0.42466000000000004,0
67,21.4439,20.7708,23.6862,23.1948,22.0725,0.28402,0.44737,1.30263,0.50333,0.38351999999999997,0.26164,1,745,40,2,518,106,0.93342,236.27816,-0.42611000000000004,1
68,21.5816,19.9692,26.0674,24.2148,22.5778,0.33194,0.29789,0.6635,1.0858700000000001,0.51556,0.26149,1,745,40,2,518,107,0.79384,236.28408,-0.42813,0
69,20.9886,20.5445,21.0909,22.9245,21.0705,0.42905,1.03278,0.49008,0.91671,0.2829,0.26147,1,745,40,2,518,108,0.61047,236.28541,-0.42811000000000005,1
70,15.9692,15.8138,19.0571,17.0635,16.2418,0.00299,0.007370000000000001,0.03872,0.0039,0.00285,0.26784,1,745,40,2,518,110,3.3716699999999995,236.28432,-0.49672,0
71,16.5274,16.4691,18.5965,17.1882,16.6834,0.00432,0.01241,0.027569999999999997,0.00427,0.00367,0.28006,1,745,40,2,518,112,2.52114,236.28627000000003,-0.62566,0
72,16.4631,16.3693,19.2411,17.3745,16.6769,0.00405,0.011359999999999999,0.0456,0.00468,0.00366,0.27981,1,745,40,2,518,114,3.30336,236.28997,-0.61569,0
73,16.2062,16.0379,19.2627,17.3056,16.4893,0.00344,0.00855,0.04419,0.00446,0.00325,0.26145999999999997,1,745,40,2,518,116,3.44602,236.29216,-0.41991000000000006,0
74,14.5264,14.394,17.3138,15.4973,14.7956,0.00158,0.00288,0.01122,0.00195,0.00157,0.27791,1,745,40,2,518,119,3.1463900000000002,236.29498999999998,-0.57335,0
75,17.2888,17.1596,19.441,18.0668,17.5074,0.00788,0.02213,0.05385,0.00772,0.007240000000000001,0.27801,1,745,40,2,518,120,2.4535,236.29432999999997,-0.57549,0
76,19.1412,18.0045,23.0589,23.0487,21.3171,0.03499,0.04871,1.04383,0.40538,0.14706,0.27769,1,745,40,2,518,121,2.1792700000000003,236.29349,-0.57072,0
77,19.8665,19.7302,23.5126,20.8706,20.1294,0.07533,0.23671999999999999,1.63999,0.07174,0.05946,0.2777,1,745,40,2,518,122,3.51928,236.29254,-0.5715,0
78,21.5737,21.0953,22.8856,21.9761,22.2829,0.45181000000000004,0.8655799999999999,1.1086799999999999,0.31303000000000003,0.56434,0.27788,1,745,40,2,518,123,0.71204,236.29357000000002,-0.5737899999999999,2
79,13.4648,12.2018,14.0607,13.7123,12.2733,0.00199,0.00274,0.0021100000000000003,0.0011300000000000001,0.00043,0.26384,1,745,40,2,518,126,0.50977,236.29586,-0.45688999999999996,1
80,18.1908,18.1555,19.4875,18.6204,18.3377,0.01548,0.05099,0.05325,0.01048,0.01171,0.26364,1,745,40,2,518,127,2.30707,236.29077999999998,-0.46019,0
81,17.6113,15.9545,24.14,19.5045,24.538,4.93365,5.30578,1303.8883,24.1429,977.97266,0.2639,1,745,40,2,518,128,1.99542,236.29583,-0.45751000000000003,0
82,19.3291,19.3268,21.8414,20.3991,19.6365,0.04747,0.15542,0.43928,0.04515,0.03569,0.26277,1,745,40,2,518,129,1.6740400000000002,236.2891,-0.45343,2
83,20.6717,20.4098,24.8873,22.939,21.8891,0.31289,0.5667300000000001,1.7748099999999998,0.9899,0.3579,0.26286,1,745,40,2,518,130,1.12825,236.29022,-0.45319,0
84,20.5353,20.3661,21.711,22.3759,21.2609,0.34833000000000003,0.88236,0.86345,0.6409999999999999,0.26095,0.26391,1,745,40,2,518,131,0.8991399999999999,236.29927999999998,-0.45411,1
85,21.089000000000002,21.038,24.3344,22.9841,22.0817,0.27066999999999997,0.90833,2.29915,0.5563600000000001,0.41317,0.26311,1,745,40,2,518,132,1.8623599999999998,236.2961,-0.44969,2
86,20.6726,22.4402,22.5162,22.4376,21.6817,0.18397,2.0990599999999997,0.99369,0.34315999999999997,0.2828,0.26298,1,745,40,2,518,133,0.44192,236.29179,-0.45277,1
87,18.5043,23.5773,18.1092,29.7438,28.1272,0.20565999999999998,20.537229999999997,0.2332,0.37859,1.86275,0.26466,1,745,40,2,518,134,0.45433999999999997,236.29982,-0.4608,1
88,21.0687,22.5863,25.6117,22.9984,21.9403,0.28412,2.33737,1.2347299999999999,0.5918899999999999,0.38747,0.26516,1,745,40,2,518,135,1.94049,236.30012999999997,-0.46546000000000004,1
89,20.4865,21.0208,24.0815,22.6058,21.9493,0.27143,1.56158,4.07378,0.69695,0.63184,0.26356999999999997,1,745,40,2,518,136,0.32295999999999997,236.29758999999999,-0.4525,1
90,21.0279,20.7213,22.5758,22.365,21.4481,0.44569,1.2078200000000001,1.8288,0.56194,0.30931,0.26314,1,745,40,2,518,137,0.33678,236.29254,-0.45352,1
91,21.11,20.8156,24.151,22.6585,21.8056,0.5392899999999999,1.31128,4.07864,0.7541399999999999,0.55471,0.26384,1,745,40,2,518,138,1.06974,236.29266,-0.46021000000000006,2
92,18.2824,27.5658,18.1802,27.595,21.4634,0.16762,0.6221,0.24875,2.72895,2.98822,0.26414,1,745,40,2,518,139,1.35033,236.29435,-0.46141000000000004,1
93,20.5839,24.0499,22.4071,22.6112,21.9073,0.29668,1.9916200000000002,1.58846,0.6998,0.60793,0.26316,1,745,40,2,518,140,0.45433999999999997,236.29092999999997,-0.45538,1
94,21.0762,20.5303,22.4906,22.4665,22.0985,0.35957,0.7882899999999999,1.31633,0.47552,0.55792,0.26309,1,745,40,2,518,141,1.11755,236.29359,-0.452,0
95,16.6544,16.5977,18.4692,17.2015,16.7762,0.004529999999999999,0.013369999999999998,0.02396,0.00419,0.00381,0.26232,1,745,40,2,518,144,2.50128,236.29717999999997,-0.44133,0
96,18.311,18.3385,19.4402,18.6679,18.4081,0.01681,0.060529999999999994,0.051539999999999996,0.011009999999999999,0.012190000000000001,0.26283,1,745,40,2,518,145,1.9395900000000001,236.29882999999998,-0.44433999999999996,0
97,20.137999999999998,20.5385,21.421999999999997,20.627,20.2676,0.0763,0.39063000000000003,0.25275,0.057,0.057010000000000005,0.26263000000000003,1,745,40,2,518,146,1.7643099999999998,236.29792999999998,-0.44338999999999995,0
98,20.0231,19.9202,21.4568,20.7122,20.2195,0.10918,0.34729,0.41251000000000004,0.0806,0.07746,0.26294,1,745,40,2,518,147,0.77642,236.29859,-0.44566000000000006,2
99,16.4635,16.3744,18.8215,17.2493,16.6556,0.0040100000000000005,0.011340000000000001,0.03191,0.0043100000000000005,0.0035600000000000002,0.26637,1,745,40,2,518,149,2.87573,236.30372999999997,-0.47372,0
100,14.8172,14.7318,17.6599,15.7123,15.0198,0.0016699999999999998,0.00352,0.01404,0.0020399999999999997,0.0016300000000000002,0.27238,1,745,40,2,518,151,3.37149,236.30442000000002,-0.5138,0
101,15.0955,14.9892,17.5796,15.9272,15.3137,0.00201,0.004070000000000001,0.01296,0.00236,0.00193,0.26194,1,745,40,2,518,158,2.87573,236.30979,-0.42641999999999997,0
102,18.5951,18.2446,22.2597,21.3274,19.4751,0.04625,0.12459,1.34305,0.21016999999999997,0.06427000000000001,0.2624,1,745,40,2,518,159,1.97741,236.30947,-0.43,2
103,19.8117,19.8552,24.8434,21.9589,20.6102,0.07633,0.25185,1.5056399999999999,0.19271,0.09573999999999999,0.26155,1,745,40,2,518,160,3.44118,236.30777999999998,-0.4249,0
104,19.8224,19.1123,21.9086,22.7107,21.1006,0.15867,0.28475,1.0261,0.77212,0.319,0.26228,1,745,40,2,518,161,1.3106,236.3105,-0.4284,0
105,21.1081,23.0256,23.4188,22.8776,22.2318,0.41711000000000004,3.18171,2.87343,0.8019,0.7074199999999999,0.26206999999999997,1,745,40,2,518,162,0.80089,236.30845,-0.42825,2
106,15.7364,15.8243,18.7701,16.7223,16.0307,0.01045,0.03656,0.030189999999999998,0.00526,0.00926,0.27651,1,745,40,2,518,165,3.30836,236.31349,-0.5353600000000001,0
107,17.9652,16.7269,23.9343,19.9369,18.2243,1.1904700000000001,0.41546000000000005,2.0886299999999998,3.02279,1.22809,0.27648,1,745,40,2,518,166,0.9030600000000001,236.31363,-0.5350199999999999,0
108,19.0521,19.1563,22.014,20.6167,19.5326,0.37326,0.76882,0.47846000000000005,0.12124000000000001,0.88654,0.27635,1,745,40,2,518,167,2.9833,236.31256000000002,-0.53496,0
109,17.7013,17.6693,19.214000000000002,18.1908,17.7873,0.02021,0.044000000000000004,0.04542,0.0103,0.011640000000000001,0.27751,1,745,40,2,518,169,1.8740599999999998,236.3143,-0.54935,0
110,19.5652,19.3255,24.1025,20.9441,20.3611,1.27452,1.05221,3.39497,2.44702,2.405,0.27757,1,745,40,2,518,170,3.25247,236.31489,-0.5499,2
111,15.1444,15.0585,17.1342,15.8417,15.3339,0.0019,0.0043100000000000005,0.01005,0.00216,0.0018399999999999998,0.27251,1,745,40,2,518,172,2.34758,236.32034,-0.50369,0
112,17.092,17.0639,19.1475,17.7192,17.2306,0.006529999999999999,0.021159999999999998,0.04376,0.00586,0.00527,0.28026,1,745,40,2,518,175,2.69876,236.32417,-0.60292,0
113,21.2714,20.0578,22.432,21.9883,21.2035,0.37205,0.60344,1.11894,0.3049,0.25085999999999997,0.28026999999999996,1,745,40,2,518,176,1.23371,236.32521,-0.60382,2
114,16.267,16.1517,19.0424,17.2278,16.5173,0.00367,0.00982,0.039810000000000005,0.00439,0.00345,0.28049,1,745,40,2,518,178,3.1791099999999997,236.32437000000002,-0.6244,0
115,14.2092,14.2046,16.0216,14.7158,14.3159,0.00143,0.00257,0.0054,0.0015199999999999999,0.0013599999999999999,0.2659,1,745,40,2,518,181,2.74032,236.32842000000002,-0.44301,0
116,19.3165,19.4073,22.2328,21.1485,19.8101,0.10235,0.34946,1.27115,0.1953,0.08541,0.26543,1,745,40,2,518,182,0.6591199999999999,236.32442999999998,-0.44205,2
117,21.8312,21.0262,22.9271,22.4171,22.8399,0.54747,0.74779,0.80966,0.44118999999999997,0.7724,0.26552,1,745,40,2,518,183,1.0915,236.32528,-0.44216000000000005,0
118,16.82,16.7513,19.0746,17.5671,17.0041,0.0051600000000000005,0.0155,0.039330000000000004,0.00519,0.00446,0.2705,1,745,40,2,518,185,2.87573,236.32847999999998,-0.48388000000000003,0
119,14.8621,14.8385,16.6588,15.3896,14.9754,0.00165,0.0036799999999999997,0.007529999999999999,0.00179,0.00157,0.27092,1,745,40,2,518,188,2.47914,236.33785,-0.4793,0
120,18.4415,18.4455,22.179000000000002,20.3985,19.0754,0.061810000000000004,0.12417,1.05847,0.07704,0.05175,0.27045,1,745,40,2,518,189,2.84872,236.33694,-0.47618,0
121,19.3179,18.4439,21.0681,21.8575,19.7466,0.25690999999999997,0.17543,0.8350700000000001,0.43091,0.14149,0.27029000000000003,1,745,40,2,518,190,1.86369,236.33661,-0.47503,2
122,20.5067,21.3112,21.4609,22.0146,21.4229,0.27758,1.9842799999999998,0.69729,0.41384,0.39388,0.27138,1,745,40,2,518,191,0.57695,236.33947999999998,-0.48166000000000003,1
123,16.1498,16.0677,18.6564,16.9683,16.2849,0.00564,0.01069,0.032119999999999996,0.00519,0.004379999999999999,0.27348,1,745,40,2,518,193,3.12712,236.33819,-0.49756000000000006,0
124,16.9386,16.9464,18.4439,17.3761,17.0511,0.00565,0.018359999999999998,0.02427,0.00468,0.00458,0.27393,1,745,40,2,518,199,2.00949,236.34342999999998,-0.49723,0
125,13.401,13.3758,15.2766,13.9602,13.5211,0.00084,0.0017,0.00374,0.0008699999999999999,0.00066,0.26405,1,745,40,2,518,201,2.4362,236.34517999999997,-0.42118,0
126,17.8956,17.8349,19.4178,18.3897,18.0292,0.01228,0.04032,0.05338,0.00907,0.009340000000000001,0.27738,1,745,40,2,518,202,1.9248,236.3491,-0.5313399999999999,0
127,16.6145,16.5212,18.8231,17.3183,16.8106,0.00448,0.013009999999999999,0.03296,0.004529999999999999,0.00396,0.28005,1,745,40,2,518,204,2.68195,236.35128999999998,-0.58877,0
128,16.5011,16.4673,18.0307,16.9519,16.605,0.004079999999999999,0.0121,0.01772,0.00366,0.00343,0.2691,1,745,40,2,518,207,2.1263,236.35549,-0.45411,0
129,20.7591,19.8636,21.7892,25.1602,21.7169,0.27061,0.4338,0.72104,1.845,0.39665,0.26881,1,745,40,2,518,208,1.53296,236.35492000000002,-0.45215,0
130,20.9234,24.9618,19.8666,23.5036,22.1538,0.40689000000000003,0.91271,0.16295,1.48052,0.59738,0.26902,1,745,40,2,518,209,2.41451,236.35361,-0.45415,1
131,17.5262,17.4399,19.413,18.1557,17.6976,0.009009999999999999,0.02841,0.053079999999999995,0.00772,0.0073,0.27997,1,745,40,2,518,211,2.26497,236.35561,-0.58646,0
132,16.0266,15.8257,19.3826,17.2447,16.3663,0.00299,0.007520000000000001,0.05222,0.0043100000000000005,0.003,0.27941,1,745,40,2,518,213,2.67456,236.35868,-0.5553,0
133,15.2754,15.2093,17.2813,15.9586,15.455,0.00202,0.00483,0.01111,0.00229,0.00195,0.28003,1,745,40,2,518,216,2.3796,236.36194,-0.60044,0
134,20.4306,19.5284,23.2888,22.5886,21.2138,0.2488,0.4132,2.4075599999999997,0.53332,0.26466,0.27999,1,745,40,2,518,217,1.41601,236.36461,-0.6017,0
135,11.9185,11.9654,13.1968,12.3024,11.9575,0.00042,0.0008900000000000001,0.0014,0.00033999999999999997,0.00031,0.27662,1,745,40,2,518,220,2.22704,236.36421,-0.52148,0
136,17.5319,17.9822,23.8106,19.7126,18.3489,1.19688,2.83603,9.08947,5.92229,2.00144,0.27664,1,745,40,2,518,221,3.03183,236.36526,-0.5220199999999999,0
137,20.004,22.6244,22.9009,22.4699,21.7193,0.17592,3.7827800000000003,2.4161799999999998,0.63064,0.51942,0.27715,1,745,40,2,518,222,0.89174,236.36393999999999,-0.52668,2
138,21.8267,20.9494,22.1626,25.4121,24.4395,0.46781000000000006,0.6216,0.5365800000000001,0.85157,1.3909200000000002,0.27694,1,745,40,2,518,223,0.77976,236.35934,-0.52373,0
139,20.4451,24.4142,21.6454,21.8245,24.0765,0.2636,1.4696799999999999,0.83395,0.35193,3.18017,0.27712,1,745,40,2,518,224,1.25963,236.35963999999998,-0.52604,1
140,21.0008,21.9717,23.2174,21.8091,21.4418,0.49273999999999996,3.1055099999999998,2.9990200000000002,0.34686999999999996,0.40296,0.27639,1,745,40,2,518,225,1.1465,236.36117000000002,-0.5184300000000001,0
141,20.5559,20.7042,22.3686,22.5274,21.6133,0.31663,1.19874,1.57504,0.78933,0.36427,0.27705,1,745,40,2,518,226,0.4599,236.36064,-0.52509,2
142,20.7686,22.0007,21.6686,22.6707,22.0141,0.23008,2.0359,0.55796,0.49365,0.43883,0.27699999999999997,1,745,40,2,518,227,1.1163,236.35887000000002,-0.5246,1
